Estados Unidos Mexicanos,40 647 770,,,
Seguro,,,10 885 654, 26.8
Inseguro,,,29 629 781, 72.9
,,,,
Aguascalientes,,,,
Aguascalientes, 577 126,,,
Seguro,,, 244 658, 42.4
Inseguro,,, 332 468, 57.6
,,,,
Baja California,,,,
Mexicali, 585 212,,,
Seguro,,, 270 624, 46.2
Inseguro,,, 314 588, 53.8
Tijuana,1 112 701,,,
Seguro,,, 317 196, 28.5
Inseguro,,, 795 505, 71.5
,,,,
Baja California Sur,,,,
La Paz, 215 567,,,
Seguro,,, 120 017, 55.7
Inseguro,,, 95 550, 44.3
Los Cabos1, 131 809,,,
Seguro,,, 88 125, 66.9
Inseguro,,, 43 067, 32.7
,,,,
Campeche,,,,
San Francisco de Campeche, 192 595,,,
Seguro,,, 104 144, 54.1
Inseguro,,, 86 546, 44.9
Ciudad del Carmen, 144 037,,,
Seguro,,, 26 316, 18.3
Inseguro,,, 117 721, 81.7
,,,,
Coahuila de Zaragoza,,,,
Saltillo, 599 553,,,
Seguro,,, 407 231, 67.9
Inseguro,,, 192 322, 32.1
La Laguna2, 768 225,,,
Seguro,,, 363 283, 47.3
Inseguro,,, 401 071, 52.2
Piedras Negras, 116 659,,,
Seguro,,, 62 880, 53.9
Inseguro,,, 53 779, 46.1
,,,,
Colima,,,,
Colima, 214 421,,,
Seguro,,, 86 830, 40.5
Inseguro,,, 127 591, 59.5
Manzanillo, 109 824,,,
Seguro,,, 28 058, 25.5
Inseguro,,, 81 766, 74.5
,,,,
Chiapas,,,,
Tuxtla Gutiérrez, 493 907,,,
Seguro,,, 88 462, 17.9
Inseguro,,, 401 517, 81.3
Tapachula, 177 567,,,
Seguro,,, 14 039, 7.9
Inseguro,,, 163 528, 92.1
,,,,
Chihuahua,,,,
Chihuahua, 634 978,,,
Seguro,,, 166 245, 26.2
Inseguro,,, 463 945, 73.1
Juárez,1 046 935,,,
Seguro,,, 98 950, 9.5
Inseguro,,, 947 985, 90.5
,,,,
Ciudad de México,,,,
Región Norte,,,,
Gustavo A. Madero, 936 530,,,
Seguro,,, 127 292, 13.6
Inseguro,,, 807 415, 86.2
Iztacalco, 313 759,,,
Seguro,,, 61 122, 19.5
Inseguro,,, 251 800, 80.3
Venustiano Carranza, 348 648,,,
Seguro,,, 130 106, 37.3
Inseguro,,, 217 443, 62.4
Región Sur,,,,
Benito Juárez, 341 947,,,
Seguro,,, 164 621, 48.1
Inseguro,,, 176 550, 51.6
Coyoacán, 508 738,,,
Seguro,,, 156 971, 30.9
Inseguro,,, 351 767, 69.1
La Magdalena Contreras, 184 133,,,
Seguro,,, 43 332, 23.5
Inseguro,,, 140 322, 76.2
Tlalpan, 492 451,,,
Seguro,,, 93 416, 19.0
Inseguro,,, 389 587, 79.1
Región Oriente,,,,
Iztapalapa,1 360 679,,,
Seguro,,, 151 771, 11.2
Inseguro,,,1 201 168, 88.3
Milpa Alta, 94 949,,,
Seguro,,, 34 516, 36.4
Inseguro,,, 60 433, 63.6
Tláhuac, 267 336,,,
Seguro,,, 42 582, 15.9
Inseguro,,, 221 897, 83.0
Xochimilco, 315 093,,,
Seguro,,, 53 539, 17.0
Inseguro,,, 261 554, 83.0
Región Poniente,,,,
Álvaro Obregón, 602 016,,,
Seguro,,, 109 801, 18.2
Inseguro,,, 492 215, 81.8
Azcapotzalco, 339 251,,,
Seguro,,, 58 401, 17.2
Inseguro,,, 277 952, 81.9
Cuajimalpa de Morelos, 142 422,,,
Seguro,,, 75 977, 53.3
Inseguro,,, 66 445, 46.7
Cuauhtémoc, 438 294,,,
Seguro,,, 84 814, 19.4
Inseguro,,, 353 480, 80.6
Miguel Hidalgo, 322 535,,,
Seguro,,, 92 549, 28.7
Inseguro,,, 228 443, 70.8
,,,,
Durango,,,,
Durango, 391 372,,,
Seguro,,, 237 743, 60.7
Inseguro,,, 153 629, 39.3
La Laguna2, 768 225,,,
Seguro,,, 363 283, 47.3
Inseguro,,, 401 071, 52.2
,,,,
Guanajuato,,,,
León de los Aldama,1 070 071,,,
Seguro,,, 213 228, 19.9
Inseguro,,, 856 843, 80.1
Guanajuato, 88 681,,,
Seguro,,, 14 657, 16.5
Inseguro,,, 74 024, 83.5
,,,,
Guerrero,,,,
Acapulco de Juárez, 530 422,,,
Seguro,,, 78 886, 14.9
Inseguro,,, 449 267, 84.7
Chilpancingo de los Bravo, 139 311,,,
Seguro,,, 15 426, 11.1
Inseguro,,, 123 885, 88.9
Ixtapa-Zihuatanejo, 72 041,,,
Seguro,,, 15 690, 21.8
Inseguro,,, 56 246, 78.1
,,,,
Hidalgo,,,,
Pachuca de Soto, 285 628,,,
Seguro,,, 79 659, 27.9
Inseguro,,, 205 969, 72.1
,,,,
Jalisco,,,,
Guadalajara,1 280 298,,,
Seguro,,, 219 243, 17.1
Inseguro,,,1 053 799, 82.3
Tonalá, 328 040,,,
Seguro,,, 57 039, 17.4
Inseguro,,, 269 297, 82.1
Tlajomulco de Zúñiga, 59 193,,,
Seguro,,, 11 388, 19.2
Inseguro,,, 47 662, 80.5
San Pedro Tlaquepaque, 445 400,,,
Seguro,,, 129 756, 29.1
Inseguro,,, 314 466, 70.6
Zapopan, 903 633,,,
Seguro,,, 272 395, 30.1
Inseguro,,, 626 082, 69.3
Puerto Vallarta, 168 635,,,
Seguro,,, 111 028, 65.8
Inseguro,,, 57 607, 34.2
,,,,
Estado de México,,,,
Toluca de Lerdo, 964 073,,,
Seguro,,, 147 717, 15.3
Inseguro,,, 816 356, 84.7
Ecatepec de Morelos,1 413 966,,,
Seguro,,, 103 914, 7.3
Inseguro,,,1 301 508, 92.0
Ciudad Nezahualcóyotl, 988 043,,,
Seguro,,, 205 913, 20.8
Inseguro,,, 772 653, 78.2
Naucalpan de Juárez, 723 072,,,
Seguro,,, 71 243, 9.9
Inseguro,,, 647 652, 89.6
Tlalnepantla de Baz, 597 888,,,
Seguro,,, 48 635, 8.1
Inseguro,,, 543 768, 90.9
Atizapán de Zaragoza, 445 847,,,
Seguro,,, 87 304, 19.6
Inseguro,,, 357 179, 80.1
Chimalhuacán, 500 041,,,
Seguro,,, 104 317, 20.9
Inseguro,,, 395 724, 79.1
Cuautitlán Izcalli, 447 189,,,
Seguro,,, 64 483, 14.4
Inseguro,,, 382 706, 85.6
,,,,
Michoacán de Ocampo,,,,
Morelia, 517 084,,,
Seguro,,, 97 290, 18.8
Inseguro,,, 418 184, 80.9
Uruapan, 197 873,,,
Seguro,,, 15 823, 8.0
Inseguro,,, 182 050, 92.0
Lázaro Cárdenas, 101 100,,,
Seguro,,, 26 964, 26.7
Inseguro,,, 74 136, 73.3
,,,,
Morelos,,,,
Cuernavaca, 613 188,,,
Seguro,,, 63 592, 10.4
Inseguro,,, 549 596, 89.6
,,,,
Nayarit,,,,
Tepic, 305 640,,,
Seguro,,, 163 405, 53.5
Inseguro,,, 139 400, 45.6
,,,,
Nuevo León,,,,
Monterrey, 995 747,,,
Seguro,,, 208 794, 21.0
Inseguro,,, 784 884, 78.8
San Pedro Garza García, 115 328,,,
Seguro,,, 93 163, 80.8
Inseguro,,, 21 848, 18.9
Apodaca, 378 780,,,
Seguro,,, 184 772, 48.8
Inseguro,,, 193 331, 51.0
Guadalupe, 596 177,,,
Seguro,,, 267 264, 44.8
Inseguro,,, 328 913, 55.2
General Escobedo, 287 744,,,
Seguro,,, 155 210, 53.9
Inseguro,,, 132 534, 46.1
San Nicolás de los Garza, 400 863,,,
Seguro,,, 270 613, 67.5
Inseguro,,, 127 260, 31.7
Santa Catarina, 228 816,,,
Seguro,,, 117 839, 51.5
Inseguro,,, 109 729, 48.0
,,,,
Oaxaca,,,,
Oaxaca de Juárez, 412 705,,,
Seguro,,, 125 847, 30.5
Inseguro,,, 286 858, 69.5
,,,,
Puebla,,,,
Heroica Puebla de Zaragoza,1 603 188,,,
Seguro,,, 117 784, 7.3
Inseguro,,,1 485 404, 92.7
,,,,
Querétaro,,,,
Querétaro, 659 551,,,
Seguro,,, 266 667, 40.4
Inseguro,,, 392 884, 59.6
,,,,
Quintana Roo,,,,
Cancún, 613 432,,,
Seguro,,, 60 171, 9.8
Inseguro,,, 549 900, 89.6
,,,,
San Luis Potosí,,,,
San Luis Potosí, 747 134,,,
Seguro,,, 140 719, 18.8
Inseguro,,, 606 415, 81.2
,,,,
Sinaloa,,,,
Culiacán Rosales, 548 182,,,
Seguro,,, 185 552, 33.8
Inseguro,,, 362 630, 66.2
Mazatlán, 315 102,,,
Seguro,,, 123 966, 39.3
Inseguro,,, 191 136, 60.7
Los Mochis, 206 462,,,
Seguro,,, 89 942, 43.6
Inseguro,,, 116 520, 56.4
,,,,
Sonora,,,,
Hermosillo, 609 453,,,
Seguro,,, 211 245, 34.7
Inseguro,,, 398 208, 65.3
Nogales, 169 895,,,
Seguro,,, 91 810, 54.0
Inseguro,,, 78 085, 46.0
,,,,
Tabasco,,,,
Villahermosa, 318 545,,,
Seguro,,, 32 757, 10.3
Inseguro,,, 285 319, 89.6
,,,,
Tamaulipas,,,,
Tampico, 606 909,,,
Seguro,,, 350 547, 57.8
Inseguro,,, 256 362, 42.2
Reynosa, 463 249,,,
Seguro,,, 78 686, 17.0
Inseguro,,, 377 881, 81.6
Nuevo Laredo, 277 749,,,
Seguro,,, 51 129, 18.4
Inseguro,,, 223 372, 80.4
,,,,
Tlaxcala,,,,
Tlaxcala de Xicohténcatl, 533 329,,,
Seguro,,, 225 845, 42.3
Inseguro,,, 304 435, 57.1
,,,,
Veracruz de Ignacio de la Llave,,,,
Veracruz, 544 246,,,
Seguro,,, 94 356, 17.3
Inseguro,,, 447 772, 82.3
Coatzacoalcos, 219 638,,,
Seguro,,, 23 178, 10.6
Inseguro,,, 196 460, 89.4
,,,,
Yucatán,,,,
Mérida, 806 633,,,
Seguro,,, 645 680, 80.0
Inseguro,,, 152 704, 18.9
,,,,
Zacatecas,,,,
Zacatecas, 189 268,,,
Seguro,,, 40 039, 21.2
Inseguro,,, 147 283, 77.8
Fresnillo, 92 019,,,
Seguro,,, 7 473, 8.1
Inseguro,,, 84 546, 91.9
