,ORGANIZACIÓN,jul/2019,ago/2019,sep/2019,oct/2019,nov/2019,dic/2019,ene/2020,feb/2020,mar/2020,abr/2020,may/2020,jun/2020,jul/2020,ago/2020,sep/2020,oct/2020,nov/2020,TOTAL
Nacional,Cártel de Sinaloa,17,2,3,2,2,0,9,11,4,3,10,6,7,3,2,11,4,96
Nacional,Cártel Jalisco Nueva Generación,7,13,19,10,13,7,33,39,26,22,8,48,51,32,14,32,22,396
Nacional,Cárteles Unidos,0,0,0,0,0,0,1,5,0,0,0,3,0,0,0,0,0,9
Nacional,Los Cuinis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Nacional,Los Arzate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Nacional,Los Venados,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4
Nacional,Banda de la Zona Norte,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4
Nacional,Cártel del Noreste,3,1,4,4,2,16,12,0,11,0,1,0,2,2,0,1,2,61
Nacional,La Unión Tepito,16,21,13,46,17,17,9,5,41,18,30,14,17,14,4,7,32,321
Nacional,La Unión Tepito Nueva Generación,0,0,0,0,0,0,4,0,0,0,0,0,8,4,1,5,0,22
Nacional,Los Guerrero,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Nacional,Los Sinaloas,2,0,1,0,0,1,0,0,0,8,10,1,10,2,0,1,0,36
Nacional,Los Jaguares,0,1,0,0,1,3,0,2,0,0,6,0,0,0,0,0,2,15
Nacional,Los Salazar,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,7
Nacional,Los Artistas Asesinos,2,1,0,1,2,2,2,1,1,5,0,1,4,2,10,5,1,40
Nacional,Los Mexicles,11,7,6,1,23,14,6,0,2,17,1,0,10,26,21,18,12,175
Nacional,Los Paredes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Nacional,Los Salgueiro,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Nacional,Grupo Élite,2,16,0,0,0,0,13,0,0,0,0,0,0,0,0,10,0,41
Nacional,Los RR,0,0,0,0,3,1,0,0,0,0,0,0,0,9,11,0,3,27
Nacional,Gente Nueva,1,0,0,2,0,0,0,4,3,0,10,1,1,2,1,0,5,30
Nacional,Cártel Zicuirán Nueva Generación,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
Nacional,Tropa del Infierno,0,4,2,0,31,0,0,1,0,0,0,0,0,0,0,0,0,38
Nacional,Los Piña,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,5
Nacional,Banda de El Toñín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Nacional,Nuevo Cártel del Tigre,0,3,2,3,2,0,3,0,0,2,1,0,2,0,1,2,0,21
Total,--,62,69,56,69,99,61,93,69,90,76,82,76,115,97,69,93,84,1360
