ESTADO,T3/2019,T4/2019,T1/2020,T2/2020,T3/2020,T4/2020,TOTAL
Aguascalientes,12,0,1,3,0,1,17
Baja California,1,3,19,13,13,15,64
Baja California Sur,1,0,2,0,1,0,4
Campeche,0,0,0,0,0,0,0
Coahuila,0,41,11,0,1,0,53
Colima,0,0,5,7,0,0,12
Chiapas,0,0,0,0,0,0,0
Chihuahua,44,55,25,37,90,46,297
Ciudad de México,52,80,55,80,40,43,350
Durango,0,0,0,0,0,0,0
Guanajuato,18,0,51,1,7,40,117
Guerrero,0,0,0,0,0,0,0
Hidalgo,0,0,1,0,0,0,1
Jalisco,10,9,0,2,2,2,25
México,3,0,4,3,9,8,27
Michoacán,8,3,12,15,23,0,61
Morelos,0,0,0,4,0,0,4
Nayarit,0,0,0,0,0,0,0
Nuevo León,4,10,12,4,1,0,31
Oaxaca,1,4,8,0,7,0,20
Puebla,4,4,1,23,16,1,49
Querétaro,0,0,5,0,0,0,5
Quintana Roo,6,12,7,1,0,0,26
San Luis Potosí,2,0,0,0,0,0,2
Sinaloa,2,1,3,0,0,0,6
Sonora,5,2,2,9,0,5,23
Tabasco,0,0,0,0,0,0,0
Tamaulipas,10,2,1,1,2,3,19
Tlaxcala,0,1,0,0,0,0,1
Veracruz,4,2,23,29,55,13,126
Yucatán,0,0,0,0,0,0,0
Zacatecas,0,0,4,2,14,0,20
Total,187,229,252,234,281,177,1360
