ZONA METROPOLITANA,MUNICIPIO,FECHA EJECUCIÓN,NÚM MUERTOS EJECUCIÓN,TIPO DE LUGAR,FUENTES
--,San Juan de Sabinas,18/05/2019,5,Automóvil,https://pulsoslp.com.mx/nacional/hallan-cinco-cuerpos-en-auto-fuera-de-oficinas-de-polica-en-coahuila/936614 https://pulsoslp.com.mx/nacional/encuentran-auto-con-5-cadveres/936928 
--,Villa Unión,30/11/2019,4,Vía Pública,https://democratacoahuila.com/2019/11/30/balazos-no-abrazos-repelen-fuerzas-de-coahuila-ataque-de-civiles-armados/ https://www.elsoldetlaxcala.com.mx/republica/sociedad/suman-21-muertos-17-delincuentes-4-agentes-enfrentamientos-villa-de-la-union-coahuila-4527175.html 
Monclova-Frontera,Monclova,15/06/2019,3,Vía Pública,https://democratacoahuila.com/2019/06/15/despierta-monclova-con-balacera-entre-gatem-y-civiles-armados-hay-3-muertos/ 
--,Progreso,21/05/2019,3,Automóvil,http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/21/hallan-tres-cadaveres-816433.html 
La Laguna,Torreón,22/03/2019,2,"",https://democratacoahuila.com/2019/03/22/vuelve-a-actuar-la-banda-del-torniquete-asesina-a-pareja/ 
La Laguna,Torreón,14/01/2019,2,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/15/acribillan-personas-785997.html 
La Laguna,Torreón,15/05/2019,2,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/15/acribillan-personas-815233.html https://informatelaguna.com/2019/05/15/matan-a-dos-jovenes-en-finca-frente-al-bosque/ 
La Laguna,Torreón,17/07/2019,2,Edificio,https://www.elsiglodetorreon.com.mx/noticia/1598659.matan-a-hombre-y-mujer-en-fraccionamiento-de-torreon.html https://www.elsiglodetorreon.com.mx/noticia/1599131.identifican-muerto-en-fraccionamiento.html 
La Laguna,Torreón,07/02/2019,2,"",https://laguna.multimedios.com/laguna/encuentran-dos-cuerpos-en-estado-de-putrefaccion https://www.elsiglodetorreon.com.mx/noticia/1544786.hallan-2-cadaveres-en-plan-de-san-luis.html 
Saltillo,Saltillo,29/05/2019,2,"",https://democratacoahuila.com/2019/05/29/otra-vez-loma-linda-sicarios-atacan-a-balazos-a-2-hombres-uno-esta-muerto/ http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/30/asesinan-sujetos-818358.html 
La Laguna,Torreón,03/07/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1593394.matan-a-joven-en-la-colonia-plan-de-ayala-de-torreon.html https://democratacoahuila.com/2019/07/04/cuecen-a-balazos-a-un-joven-se-recrudece-la-inseguridad-en-torreon/ 
La Laguna,Torreón,03/04/2019,1,"",https://democratacoahuila.com/2019/04/03/regresan-ejecuciones-a-torreon-atan-a-hombre-y-lo-asesinan-a-balazos/ 
La Laguna,Torreón,03/12/2019,1,Vía Pública,https://democratacoahuila.com/2019/12/04/sicario-en-motocicleta-mata-a-uno-y-deja-gravemente-herido-a-otro/ https://informatelaguna.com/2019/12/04/matan-a-balazos-a-motociclista/ 
La Laguna,Torreón,03/08/2019,1,Narcofosa,https://www.milenio.com/policia/torreon-hallan-cuerpo-de-joven-desparecido https://informatelaguna.com/2019/08/04/hallan-enterrado-cadaver-de-joven-desaparecido/ 
La Laguna,Torreón,03/07/2019,1,Automóvil,https://www.milenio.com/policia/torreon-matan-a-hombre-de-balazo-en-la-cabeza https://www.elsiglodetorreon.com.mx/noticia/1593320.muere-hombre-de-un-tiro-en-la-cabeza-en-torreon.html 
La Laguna,Torreón,04/12/2019,1,"",https://informatelaguna.com/2019/12/05/muere-hombre-baleado-en-la-colonia-latinoamericana-de-torreon/ 
La Laguna,Torreón,04/02/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/2/5/ejecuta-comando-sujeto-790579.html https://informatelaguna.com/2019/02/04/sacan-a-sujeto-de-su-casa-y-lo-acribillan-en-el-ejido-la-union/ 
La Laguna,Torreón,04/12/2019,1,Vía Pública,https://informatelaguna.com/2019/12/05/lo-matan-a-balazos-en-la-division-del-norte/ https://www.elsiglodetorreon.com.mx/noticia/1649502.matan-a-hombre-en-la-colonia-division-del-norte-de-torreon.html 
La Laguna,Torreón,04/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/5/asesinan-balazos-trasnochador-783772.html 
La Laguna,Torreón,05/07/2019,1,"",https://www.milenio.com/policia/encuentran-a-hombre-muerto-en-la-jacobo-meyer https://democratacoahuila.com/2019/07/06/nomas-20-balazos-le-dieron-a-la-enesima-victima-de-la-violencia-en-torreon/ 
La Laguna,Torreón,06/05/2019,1,"",https://www.milenio.com/policia/encuentran-cuerpo-en-ejido-la-merced-de-torreon https://democratacoahuila.com/2019/05/06/ejecutaron-a-golpes-al-honduras-presentaba-huellas-de-tortura/ 
La Laguna,Torreón,07/09/2019,1,Vía Pública,https://www.eldiariodecoahuila.com.mx/seguridad/2019/9/7/hallan-cadaver-calcinado-838906.html https://democratacoahuila.com/2019/09/07/asesinan-y-queman-a-una-persona-no-saben-su-identidad-ni-genero/ 
La Laguna,Torreón,07/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/7/encobijado-torniquete-784106.html 
La Laguna,Torreón,08/07/2019,1,"",https://www.milenio.com/policia/abandonan-cuerpo-en-ejido-la-concha-de-torreon https://www.elsiglodetorreon.com.mx/noticia/1594955.localizan-cadaver-en-ejido-la-concha-de-torreon.html 
La Laguna,Torreón,09/02/2019,1,"",https://democratacoahuila.com/2019/02/09/guerra-criminal-se-apodera-de-calles-de-torreon-torturan-a-hombre-hasta-matarlo/ https://informatelaguna.com/2019/02/09/matan-a-individuo-en-la-colonia-miguel-hidalgo/ 
La Laguna,Torreón,09/03/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1554662.medico-desaparecido-hombre-localizado-en-fraccionamiento-la-perla.html https://democratacoahuila.com/2019/03/11/medico-lagunero-fue-torturado-hasta-su-muerte-lo-acuchillaron/ 
La Laguna,Torreón,09/09/2019,1,Local comercial,https://www.elsiglodetorreon.com.mx/noticia/1617744.asesinan-a-hombre-afuera-de-puesto-de-mariscos-en-torreon.html https://informatelaguna.com/2019/09/09/lo-matan-a-balazos-afuera-de-marisqueria-de-torreon/ 
La Laguna,Torreón,09/03/2019,1,"",https://democratacoahuila.com/2019/03/09/nueva-victima-de-la-inseguridad-que-vive-torreon-asesinan-a-joven-de-21-anos/ 
La Laguna,Torreón,10/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/11/mueren-acribillados-785075.html 
La Laguna,Torreón,10/11/2019,1,Calle,https://www.elsiglodetorreon.com.mx/noticia/1640528.localizan-cuerpo-sin-vida-en-vivienda-de-la-colonia-la-merced-ii.html 
La Laguna,Torreón,10/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/11/mueren-acribillados-785075.html 
La Laguna,Torreón,11/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/12/asesinan-menor-edad-torreon-785322.html 
La Laguna,Torreón,11/04/2019,1,En su casa,http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/12/allanan-domicilio-ultiman-sujeto-807336.html 
La Laguna,Torreón,11/06/2019,1,Vía pública,https://www.eldiariodecoahuila.com.mx/seguridad/2019/6/14/muere-tras-recibir-balazo-en-la-cabeza-821425.html https://www.elsiglodetorreon.com.mx/noticia/1586553.muere-hombre-que-fue-baleado-en-el-centro-de-torreon.html 
La Laguna,Torreón,12/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/13/despachan-tiro-cabeza-785548.html 
La Laguna,Torreón,12/03/2019,1,"",https://democratacoahuila.com/2019/03/12/1comerciantes-es-abatido-a-tiros-por-dos-hombres-que-viajaban-en-moto/ 
La Laguna,Torreón,14/05/2019,1,"",https://democratacoahuila.com/2019/05/14/ejecutan-a-uno-mas-no-cesan-las-ejecuciones-en-calles-de-torreon/ http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/15/hallan-cadaver-desnudo-huellas-violencia-815027.html 
--,Acuña,30/07/2019,1,"",https://www.eldiariodecoahuila.com.mx/locales/policiaca/2019/8/1/hallan-enterrado-persona-en-el-patio-trasero-de-vivienda-831136.html 
La Laguna,Torreón,14/10/2019,1,Calle,https://democratacoahuila.com/2019/10/14/ejecutan-a-uno-en-la-duranguena-le-dan-balazo-en-la-cabeza/ https://www.elsiglodetorreon.com.mx/noticia/1630613.fallece-hombre-por-impacto-de-bala-en-la-duranguena.html 
La Laguna,Torreón,15/03/2019,1,"",https://democratacoahuila.com/2019/03/15/siembra-el-terror-la-banda-del-torniquete-ahora-ejecuta-a-jovencita/ 
La Laguna,Torreón,15/02/2019,1,"",https://democratacoahuila.com/2019/02/15/encuentran-a-hombre-encajuelado-lo-mataron-a-cuchilladas/ https://informatelaguna.com/2019/02/15/hallan-un-encajuelado-en-ejido-de-torreon/ 
La Laguna,Torreón,15/09/2019,1,Casa,https://www.elsiglodetorreon.com.mx/noticia/1619794.aun-sin-identificar-mujer-asesinada-en-la-colonia-torreon-y-anexas.html https://www.elsiglodetorreon.com.mx/noticia/1618643.localizan-a-mujer-muerta-en-la-colonia-torreon-y-anexas.html 
La Laguna,Torreón,16/01/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/17/acribillan-menos-tres-horas-786439.html 
La Laguna,Torreón,16/10/2019,1,Vía pública,https://informatelaguna.com/2019/10/16/asesinan-a-joven-en-la-colonia-el-arenal/ https://www.eldiariodecoahuila.com.mx/seguridad/2019/10/17/ejecutan-peaton-847354.html 
La Laguna,Torreón,16/05/2019,1,"",https://www.milenio.com/policia/encuentran-cuerpo-de-mujer-en-la-colonia-aviacion http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/16/muere-policia-sufrio-ataque-armado-815448.html 
La Laguna,Torreón,16/12/2019,1,Hospital,https://informatelaguna.com/2019/12/16/muere-el-joven-abogado-baleado-en-su-auto/ https://informatelaguna.com/2019/12/04/balean-a-joven-abogado-afuera-del-hotel-calvete/ 
La Laguna,Torreón,17/11/2019,1,Vía Pública,https://www.elsoldehidalgo.com.mx/republica/sociedad/balacera-mancha-desfile-de-torreon-muere-una-mujer-4468225.html https://laverdadnoticias.com/crimen/Matan-a-mujer-durante-desfile-en-el-centro-de-Torreon-era-maestra-VIDEO-20191117-0147.html 
La Laguna,Torreón,18/01/2019,1,"",https://vanguardia.com.mx/articulo/encuentran-en-el-ejido-de-torreon-cuerpo-de-ejecutado http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/20/hallan-cuerpo-tenia-tiro-cabeza-787159.html 
La Laguna,Torreón,18/11/2019,1,Banqueta,https://informatelaguna.com/2019/11/18/asesinan-a-sujeto-en-la-colonia-division-del-norte/ 
La Laguna,Torreón,19/07/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1599654.hallan-a-joven-sin-vida-en-colonia-pancho-villa-de-torreon.html https://www.eldiariodecoahuila.com.mx/locales/policiaca/2019/7/21/balazos-acaban-con-la-vida-de-un-joven-de-24-anos-829022.html 
La Laguna,Torreón,19/04/2019,1,Hospital,http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/20/muere-baleado-tras-agonia-809206.html 
La Laguna,Torreón,19/01/2019,1,Taxi,https://www.elsiglodetorreon.com.mx/noticia/1538601.matan-a-taxista-en-la-colonia-abastos-de-torreon.html http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/21/ejecutan-taxista-calles-torreon-787289.html 
La Laguna,Torreón,19/09/2019,1,Calle,https://democratacoahuila.com/2019/09/19/disparan-a-hombre-7-veces-dos-balas-impactan-su-espalda-y-muere/ 
La Laguna,Torreón,20/06/2019,1,Vía Pública,https://www.elsiglodetorreon.com.mx/noticia/1588735.balean-y-matan-a-hombre-en-la-moderna.html https://democratacoahuila.com/2019/06/19/termina-la-falsa-paz-de-torreon-ejecutan-a-balazos-a-uno-en-la-moderna/ 
La Laguna,Torreón,20/08/2019,1,"",https://www.milenio.com/policia/encuentran-cuerpo-de-hombre-al-oriente-de-torreon https://informatelaguna.com/2019/08/20/hallan-cuerpo-encobijado-en-el-ejido-el-aguila/ 
La Laguna,Torreón,21/01/2019,1,"",https://www.elsiglodetorreon.com.mx/noticia/1539031.asesinan-a-hombre-afuera-de-un-bar-del-sector-alianza-hay-un-lesionado.html https://www.elsiglodetorreon.com.mx/noticia/1539208.lo-asesinan-a-tiros-en-sector-alianza-de-torreon.html 
La Laguna,Torreón,21/11/2019,1,Calle,https://laverdadnoticias.com/crimen/En-Coahuila-hallan-cuerpo-DESCUARTIZADO-dentro-de-maleta-20191122-0151.html https://www.milenio.com/policia/en-torreon-andonan-cuerpo-de-hombre-dentro-de-maleta 
La Laguna,Torreón,21/09/2019,1,Automóvil,https://www.elsiglodetorreon.com.mx/noticia/1621985.identifican-a-joven-muerto-por-agentes-en-diagonal-reforma.html https://informatelaguna.com/2019/09/19/elementos-del-gate-persiguen-y-balean-a-dos-uno-muere/ 
La Laguna,Torreón,21/01/2019,1,"",https://www.valorportamaulipas.info/2019/01/lo-torturan-y-matan-abandonado-en.html http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/22/reportan-cadaver-torniquete-otro-encobijado-787543.html 
La Laguna,Torreón,22/09/2019,1,Vía Pública,https://www.elsiglodetorreon.com.mx/noticia/1622195.localizan-osamenta-de-mujer-en-ejido.html 
La Laguna,Torreón,22/10/2019,1,Local comercial,https://democratacoahuila.com/2019/10/22/entra-sicario-a-una-tienda-pide-cigarros-y-ejecuta-a-comerciante/ https://informatelaguna.com/2019/10/22/matan-a-balazos-a-comerciante-de-la-concha/ 
La Laguna,Torreón,22/10/2019,1,Hospital,https://informatelaguna.com/2019/10/22/mure-en-el-imss-joven-baleado/ 
