nombre,siglas,tipo,subtipo,pertenencia
Cártel de Sinaloa,CDS,Cártel ,,
Cártel Jalisco Nueva Generación,CJNG,Cártel ,,
Cárteles Unidos,CU,Mafia,Célula,Cártel de Sinaloa
Los Ciclones,,Mafia ,Escisión,
La Oficina,,Banda,,Organización criminal de la familia Meza Flores
Los Gloria,,Banda,,
La Línea,,Mafia,Escisión,
El 30,,Banda,Brazo armado,Cártel de Sinaloa
Los Cuinis,,Mafia,Célula,Cártel Jalisco Nueva Generación
XXXV,,Banda,Pandilla,
Los Monkikis,,Banda ,Pandilla,
Cártel de Tijuana Nueva Generación,CTNG,Mafia,Célula,Cártel Jalisco Nueva Generación
Los Arzate,,Mafia,Célula,Cártel de Sinaloa
Cártel de Los Arellano Félix,CAF,Mafia,,
Organización criminal de la familia Meza Flores,,Mafia,,
Cártel de Santa Rosa de Lima,SRL,Mafia,"",
Los Pilotos,,Banda,,Cártel de Los Arellano Félix
Los Venados,,Banda,Brazo armado,Los Arzate
Los Mudos,,Banda ,Pandilla,
Banda del Bebé,,Banda,Pandilla,
Banda de la Riviera Maya,,Banda,,
Los 28,,Banda,Brazo armado,Cártel Jalisco Nueva Generación
Banda de la Zona Norte,,Banda,,Cártel de Sinaloa
Los Villavicencio,,Mafia,Célula,Cártel de Sinaloa
Los Zetas Vieja Escuela,,Mafia,Escisión,
Piratas del Carmen,,Banda,,
Los Boxes,,Banda,Pandilla,
Cártel del Noreste,,Mafia,Escisión,
Banda de Hopelchén,,Banda,,
Piratas de la Plaza de la Madre,,Banda,Pandilla,
Los TX8S,,Banda,Pandilla,
Los Destroyers,,Banda,Pandilla,
Los Distintos,,Banda,Pandilla,
Los Morgan,,Banda,Pandilla,
Las Piratas,,Banda,Pandilla,
Las Fresas,,Banda,Pandilla,
Los Nuevos Aztecas,,Banda,Pandilla,La Línea
Los Ántrax,,Banda,Banda,
La Nueva Familia Michoacana,,Mafia,Escisión,
Los Blancos de Troya,,Banda,Brazo armado,La Nueva Familia Michoacana
Barrio 18,M-18,Banda,Pandilla,
Cartel de San Juan Chamula,,Banda,,
Fuerzas Especiales Grupo Sombra,FEGS,Banda,Brazo armado,
Mara Salvatrucha,M-13,Banda,Pandilla,
Cártel de Nuevo Imperio,,Banda,,
Cártel de Tláhuac,TLH,Banda,,
La Ronda 88,LR88,Banda,Pandilla,
La Unión Tepito,,Mafia,,
La Unión Tepito Nueva Generación,UTNG,Mafia,Célula,Cártel Jalisco Nueva Generación
Los Boludos,,Banda,Pandilla,
Los Canchola,,Banda,,
Los Changos,,Banda,Pandilla,
Los Discos,,Banda,Pandilla,
Los Güeros,,Banda,Pandilla,
Los Guerrero,,Banda,Pandilla,
Los Maestrín,,Banda,Pandilla,
Los Marcopolos,,Banda,,La Unión Tepito
Los Memos,,Banda,Pandilla,
Los Oaxacos,,Banda,Pandilla,
Los Rodolfos,,Banda,,
Los Rudos,,Banda,Pandilla,
Los Sinaloas,,Banda,,Cártel de Sinaloa
Los Tanzanios,,Banda,Pandilla,
Los Villafán,,Banda,Pandilla,
Los Molina,,Banda,Pandilla,
Los Chilas,,Banda,Pandilla,
Sindicato Libertad,,Mafia,,
Fuerzas Especiales Mexicles,FEM,Banda,Pandilla,
Los Jaguares,,Banda,Brazo armado,
Los Salazar,,Mafia,Célula,Cártel de Sinaloa
Cártel de la ciudad,CDS; CDP,Cártel ,,
Cartel X,CJNG,Cártel ,,
Los Borregos,CU,Mafia,Célula,
Oso Panda,,Mafia ,Escisión,
﻿Cártel de Sinaloa,CDS,Cártel ,,
