Nombre,Aliados,Conflictos
Autodefensas Guardia por la Paz,"",Cártel Jalisco Nueva Generación
Autodefensas de Chenalhó,"",""
Autodefensas de Quintana Roo,"",""
Autodefensas de San Cristóbal,Cártel de San Juan Chamula,Los Motonetos
Autodefensas de Tepalcatepec,"",""
Banda de Cajititlán,"",""
Banda de Chapala,"",""
Banda de El Alvin,"",""
Banda de El América,"",""
Banda de El Borras,"",""
Banda de El Charal,"",""
Banda de El Chita,"",""
Banda de El Español,"",""
Banda de El Geisha,"",""
Banda de El Loco Téllez,"",Hermanos Pérez Juan
Banda de El Mamer,Cártel Jalisco Nueva Generación; La Barredora,Banda de El Toñín; Sangre Nueva Zeta
Banda de El Masero,"",""
Banda de El Monterrey,"",""
Banda de El Parka,"",""
Banda de El Talachas,"",""
Banda de El Tortillero,"",""
Banda de El Toñín,Cártel Jalisco Nueva Generación,Banda de El Mamer
Banda de La Dueña,La Línea,""
Banda de Los Gota a Gota,Machete de la Chapiza,""
Banda de la Riviera Maya,Los Bonfiles,""
Banda del Caracol,"",""
Banda del Chore,Cártel de Sinaloa (Los Guzmán); La Barredora; Los Cebús,Cártel de Sinaloa (Los Zambada)
Banda del Comandante Cromo,Cártel San Luis Rey,""
Banda del Cuervo,"",""
Banda del Dober,"",""
Banda del Galleta,"",""
Banda del Gato,"",""
Banda del Gigan,"",""
Banda del Gordo Frank,"",""
Banda del Hindú,Cártel de Sinaloa,""
Banda del Jefe de Jefes,"",""
Banda del Kalimba,"",""
Banda del Menona,Cártel de Sinaloa,""
Banda del Niñote,"",Los Rodolfos
Banda del Picasso,"",""
Banda del Poncho,"",""
Banda del Tigre,"",Cártel Jalisco Nueva Generación
Banda del Valente,"",""
Barrio 18,"",Mara Salvatrucha
CDX,"",""
CJNG-CIDA,Cártel Independiente de Acapulco; Cártel Jalisco Nueva Generación; Flor Imperial,""
CNR,"",""
Cabo 24,Fuerzas Especiales del Ranchero,""
Chapitos-CJNG,Cártel Jalisco Nueva Generación; Cártel de Sinaloa (Los Guzmán),""
Clan Zheng,"",""
Colombianos,"",""
Columna Armada Pedro J. Méndez,"",""
Comandante Teto,"",Cártel Jalisco Nueva Generación
Comando Tlahuica,"",Los Rojos
Comando XXIII,Cártel Jalisco Nueva Generación,Cártel de Zicuirán; Cárteles Unidos; La Nueva Familia Michoacana; Los Viagra
Confederación Autónoma de Trabajadores y Empleados de México (CATEM),Los Cabrera,""
Cártel Chiapas y Guatemala,Cártel Jalisco Nueva Generación; El Maíz; Kaibiles,Cártel de Sinaloa; Los Huistas; Los Motonetos; Mara Salvatrucha
Cártel Gente Nueva Salazar,Los Escorpiones,Cártel Jalisco Nueva Generación; Cártel La Nueva Familia; Cártel Nueva Plaza; Cártel de Santa Rosa de Lima
Cártel Independiente de Acapulco,CJNG-CIDA; Cártel Jalisco Nueva Generación; Flor Imperial,Los Rusos; Los Rusos (de Guerrero); Los Zetas Vieja Escuela
Cártel Independiente de La Laguna,Cártel de Sinaloa (Los Guzmán),""
Cártel Independiente de Nuevo Léon,"",""
Cártel Jalisco Nueva Generación,Banda de El Mamer; Banda de El Toñín; CJNG-CIDA; Chapitos-CJNG; Comando XXIII; Cártel Chiapas y Guatemala; Cártel Independiente de Acapulco; Cártel Michoacán Nueva Generación; Cártel de Juchitán; Cártel de Sinaloa (Los Guzmán); Cártel de Tijuana Nueva Generación; Cártel de Tláhuac; Cártel de la Virgen; Cártel del Golfo; Cártel del Poniente; El Cártel del Primo; El Machete; El Maíz; Federación Morelense; Flor Imperial; Fuerza Anti-Unión Tepito; Fuerzas Especiales Unión; Grupo Reacción; Grupo X-CJNG; Guerrero Nueva Generación; Guerreros Unidos; Hermanos Bonques; La Barredora; La Chokiza; La Luz del Mundo; La Línea; La Mafia Filipina; La Nueva Alianza; La Oficina; La Tecampanera; La Unión Oaxaca; Los Acapulco; Los Autónomos; Los Blancos de Troya; Los Canchola; Los Ciriles; Los Cuinis; Los Durango; Los Erres; Los Fabiola; Los Filippini; Los Granados; Los Gálvez; Los Herrera; Los Huistas; Los Metros; Los Pelones; Los Primos; Los Rodolfos; Los Rodríguez; Los Tequileros; Los Tlacos; Los Viagra; Machete de la Chapiza; Mafia Filipini; Operativa La Barredora del CJNG,Autodefensas Guardia por la Paz; Banda del Tigre; Comandante Teto; Cártel Gente Nueva Salazar; Cártel La Nueva Familia; Cártel Nueva Plaza; Cártel de Caborca; Cártel de Cancún; Cártel de Ensenada; Cártel de Los Alemanes; Cártel de Los Arellano Félix; Cártel de Los Maestros; Cártel de Los Reyes; Cártel de Oaxaca; Cártel de Santa Rosa de Lima; Cártel de Sinaloa; Cártel de Tepalcatepec; Cártel de Zicuirán; Cártel de la Costa; Cártel del Camaleón; Cártel del Noreste; Cárteles Unidos; El 30; Fuerzas Especiales Grupo Sombra; Fuerzas Especiales del Charro; Gente Nueva; Gpo. Flechas Operativa M.Z.; Grupo Bravo; Grupo X; Guardia Michoacana; La Bandera; La Familia Michoacana; La Gente de Aquiles; La Nueva Empresa; La Nueva Familia Michoacana; La Reserva del Más Loco; La Unión León; Las Leches; Los Arzate; Los Caballeros Templarios; Los Chuckys; Los Colombianos; Los Correa; Los Escorpiones; Los Garibay; Los Gopes; Los Maldonado; Los Mezcales; Los Motonetos; Los Pía; Los R4; Los Rojos; Los Rusos; Los Talibanes; Los Tena; Los Tercios; Los Venados; Los Zorros; Los de Siempre; Organización del Compa Playa; Pueblos Unidos Contra la Delincuencia; Pájaro Sierra; Sangre Brava Morelense; Tropa del Infierno
Cártel La Nueva Familia,"",Cártel Gente Nueva Salazar; Cártel Jalisco Nueva Generación; Cártel Nueva Plaza; Cártel Nueva Salazar; Cártel de Santa Rosa de Lima
Cártel López,La Línea,""
Cártel Michoacán Nueva Generación,Cártel Jalisco Nueva Generación; Los Blancos de Troya; Los Viagra,Cártel de Tepalcatepec; La Nueva Familia Michoacana; Los Caballeros Templarios
Cártel Nueva Plaza,Las Leches,Cártel Gente Nueva Salazar; Cártel Jalisco Nueva Generación; Cártel La Nueva Familia; Cártel Nueva Salazar; Cártel de Santa Rosa de Lima; Cártel de Sinaloa (Los Guzmán)
Cártel Nueva Salazar,"",Cártel La Nueva Familia; Cártel Nueva Plaza
Cártel San Luis Rey,Banda del Comandante Cromo,""
Cártel Tabasco Nueva Generación,La Barredora,""
Cártel Zicuirán Nueva Generación,"",Cárteles Unidos; La Nueva Familia Michoacana
Cártel de Caborca,Cártel de Sinaloa (Los Zambada); Cártel de la Costa; La Barredora; Los Artistas Asesinos; Los Hermanos Sánchez; Los Jaguares; Los Números; Los Paredes; Los Peluches; Los Salazar,Cártel Jalisco Nueva Generación; Cártel de Los Arellano Félix; Cártel de Sinaloa (Los Guzmán); La Nueva Alianza; Los Cazadores; Los Deltas (Los Guzmán); Los Demonios; Los Rusos; Los Rusos (de Guerrero)
Cártel de Cancún,Cártel de Sinaloa,Cártel Jalisco Nueva Generación
Cártel de Ensenada,Cártel de Sinaloa (Los Guzmán); Los Ninis,Cártel Jalisco Nueva Generación
Cártel de Juchitán,Cártel Jalisco Nueva Generación; Cártel de Oaxaca; Sindicato Libertad,""
Cártel de Juárez,"",Cártel de Sinaloa (Los Guzmán)
Cártel de Los Alemanes,Los Metros,Cártel Jalisco Nueva Generación; Cártel del Noreste; Los Zetas Vieja Escuela
Cártel de Los Arellano Félix,EL Kieto; El Chan; Los Arzate; Organización criminal de la familia Meza Flores,Cártel Jalisco Nueva Generación; Cártel de Caborca; Cártel de Sinaloa (Los Guzmán); Cártel de Tijuana Nueva Generación; La Línea; La Nueva Familia Michoacana; Los Caballeros Templarios; Los Mazatlecos; Los Venados; Los Viagra; Los Viejos Aztecas; Los Zetas Vieja Escuela; Los Zorros
Cártel de Los Beltrán Leyva,"",Cártel de San Juan Chamula; Cártel de Sinaloa (Los Zambada); Cártel de Tijuana Nueva Generación; Los Zetas Vieja Escuela; Mara Salvatrucha
Cártel de Los Maestros,"",Cártel Jalisco Nueva Generación; Cártel del Noreste
Cártel de Los Reyes,Cártel de Tepalcatepec; Cárteles Unidos; Los Viagra,Cártel Jalisco Nueva Generación
Cártel de Oaxaca,Cártel de Juchitán; Sindicato Libertad,Cártel Jalisco Nueva Generación; Los Piña
Cártel de Puebla,Gente Nueva del Sur,""
Cártel de San Juan Chamula,Autodefensas de San Cristóbal; Los Motonetos,Cártel de Los Beltrán Leyva; Cártel de Sinaloa; Los Ratones; Los Zetas Vieja Escuela
Cártel de Santa Rosa de Lima,Cártel de Sinaloa; Cártel del Golfo; Cárteles Unidos; Fuerzas Especiales Grupo Sombra; La Nueva Familia Michoacana; La Unión Tepito; Las Leches; Los Escorpiones; Paramilitares Colombianos,Cártel Gente Nueva Salazar; Cártel Jalisco Nueva Generación; Cártel La Nueva Familia; Cártel Nueva Plaza; Cártel de Sinaloa (Los Guzmán); Grupo Élite; Los Deltas; Los RR
Cártel de Sinaloa,Banda del Hindú; Banda del Menona; Cártel de Cancún; Cártel de Santa Rosa de Lima; El Tren de Aragua; Fuerzas Especiales Grupo Sombra; Gpo. Flechas Operativa M.Z.; La Bandera; La Bhardwaj; La Empresa; La Nueva Familia Michoacana; Los Colombianos; Los Garibay; Los Hernández Salas; Los Jaguares; Los Mezcales; Los Pía; Los Reyes; Los Rodos NCI; Los Rusos; Los Talibanes,Cártel Chiapas y Guatemala; Cártel Jalisco Nueva Generación; Cártel de San Juan Chamula; Cártel de Tijuana Nueva Generación; Cártel del Golfo; El Machete; El Maíz; Fuerzas Armadas Apache; Fuerzas Especiales Mexicles; Gente del Guano; La Línea; Los Autónomos; Los Bournes; Los Deltas; Los Hades; Los Herrera; Los Linces; Los Memos (de Sonora y Durango); Los Piña; Los RR; Los Viejos Aztecas; Los Zetas Vieja Escuela; Machete de la Chapiza; Mara Salvatrucha; Nuevo Cártel de Juárez; Organización criminal de la familia Meza Flores
Cártel de Sinaloa (Los Guzmán),Banda del Chore; Chapitos-CJNG; Cártel Independiente de La Laguna; Cártel Jalisco Nueva Generación; Cártel de Ensenada; Cártel del Mar; El 15; Fuerzas Especiales Avendaño; Fuerzas Especiales Unión; Hells Angels Motorcycle Club; La Barredora; Los Alfa; Los Cazadores; Los Chivos; Los Fantasmas; Los Memos (Cártel de Sinaloa); Los Mexicles; Los Mochomitos; Los Pelones; Los Ponchis; Los Salgueiro; Mata Salas; Organización de los Hernández Salas; Pueblos Unidos,Cártel Nueva Plaza; Cártel de Caborca; Cártel de Juárez; Cártel de Los Arellano Félix; Cártel de Santa Rosa de Lima; Cártel de Sinaloa (Los Zambada); El 00; El 30; El Flaco; El Güero Pulseras; El Limón; Gente Nueva del Jaguar; Gpo. Flechas Operativa M.Z.; La Gente de Aquiles; Los Arzate; Los Cabrera; Los Chuckys; Los Deltas (Los Guzmán); Los Gigios; Los Mazatlecos; Los Paredes; Los Rugrats; Los Rusos; Los Salazar; Los Tamales; Los Valenzuela; Los Venados; Los Zorros; Los Ántrax; Nuevo Cártel del Tigre
