Denominación OC,Vigencia,Mapa ,Nombre(s) alternativo(s) OC,Siglas OC,Tipo ,Subtipo,Pertenencia,Origen  ,Aliados,Rivales,Narcotráfico,Narcomenudeo,Extorsión (extorsión presencial cobro de derecho de piso y secuestro-levantones),Mercado Ilícito de Hidrocarburos (MIH) ,Trata y tráfico de personas,Tráfico de armas (profesionales de la violencia – sicarios),Robo de ferrocarril ,Robo a transportista (camión articulado -robo a transporte público),"Delitos contra fauna-flora silvestre (tala clandestina, pesca y minería ilegal, tráfico de especies animales y vegetales)","Contrabando de mercancías (productos apócrifos, medicinas, bienes culturales)",Lavado de dinero (participación en el mercado formal con empresas fachada o como profesionales de la violencia para empresarios) ,Fraude ,"Actos de terrorismo (coches bomba, explosivos en establecimientos comerciales como sucursales bancarias, amenazas y homicidio de activistas y periodistas). ",Vandalismo (daño sistemático a infraestructura urbana),Robo a comercio (robo bancario-negocio),Robo a casa habitación,Robo de vehículo (robo a transeúnte),Piratería (robo a embarcaciones o plataformas petroleras),Autogobierno penitenciario (control de la cárcel por medio de la extorsión)
14-4,Inactiva,OCE,,,Mafia,,"",,"",,1,,,,,,,,,,,,,,,,,,
11 de Marzo,Activa,P,,,Banda,Pandilla,"",,"",,,,,,,1,,,,,,,,,,,,,
16 Poniente y 3 Norte,Activa,P,,,Banda,Pandilla,"",,"",,,,,,,1,,,,,,,,,,,,,
5 de Mayo,Activa,P,,,Banda,Pandilla,"",,"",,,,,,,1,,,,,,,,,,,,,
"Alianza de Autotransportistas, Comerciantes y Anexas de México “ACME”",Activa,GLR,,ACME,Banda,,"",,"",,,,,,,,,,1,,,,,,,,,,
Alianza Mexicana de Organizaciones Sociales (AMOS),Activa,GLR,,,Banda,Pandilla,"",,"",,,,1,,,1,,,,,,,,,,,,,
Angelinos 13,Inactiva,P,,,Banda,Pandilla,"",,"",,,1,,,,,,,,,,,,,,,,,
Ántrax,Inactiva,P,,,Banda,Pandilla,La Unión León,,"",,,1,,,,,,,,,,,,,,,,,
Asociación Civil Grupo Fortaleza,Activa,GLR,,,Banda,,"",,"",,,,1,,,1,,,,,,1,,,,,,,
Autodefensa Pueblo Cansado,Activa,APC,,,Banda,,"",,"",,,,,,,1,,,,,,,,,,,,,
Autodefensas de Altamirano,Inactiva,APC,,,Banda,,"",,"",,,,,,,1,,,,,,,,,,,,,
Autodefensas de Chenalhó,Inactiva,APC,,,Banda,,"",,"",,,,,,,1,,,,,,,,,,,,,
Autodefensas de Quintana Roo,Inactiva,APS,,,Banda,Pandilla,"",,"",,,,,,,1,,,,,,,,,,,,,
Autodefensas de San Cristóbal,Activa,APS,Autodefensas del municipio de San Cristóbal de las Casas,,Banda,Brazo armado,Cártel de San Juan Chamula,,"",Los Motonetos,,,,,,1,,,,,,,,,,,,,
Autodefensas de Tepalcatepec,Inactiva,APC,,,Banda,Brazo armado,Cártel de Tepalcatepec,,"",,,,1,,,1,,,,,,,,,,,,,
Autodefensas del municipio de San Cristóbal de las Casas,Activa,APS,,,Banda,,"",,"",,,,,,,,,,,,,,,,,,,,
Autodefensas en Contra del Secuestro y Robo y Cobro de Piso,Inactiva,APC,,,Banda,Brazo armado,Sangre Nueva Zeta,,"",,1,,,,,1,,,,,,,,,,,,,
Autodefensas Guardia por la Paz,Activa,APS,,,Banda,Célula,Los Viagra,,"",Cártel Jalisco Nueva Generación,,,,,,1,,,,,,,1,,,,,,
Bambú Unidos,Inactiva,OCE,,,Mafia,,"",,"",,1,,,,,,,,,,,,,,,,,,
Banda de Acolman,Inactiva,P,,,Banda,Pandilla,"",,"",,,,,,,,,1,,,,,,,,,,,
Banda de Alí,Activa,GLR,,,Banda,,"",,"",,1,,,,,,,,,,,,,,,,,,
Banda de Cajititlán,Inactiva,GLR,,,Banda,,"",,"",,,1,,,,,1,,,1,,1,,,1,,,,
Banda de Chapala,Inactiva,P,,,Banda,Pandilla,"",,"",,,,,,,,,1,,,,,,,1,,,,
Banda de Don Lupe,Inactiva,GLR,,,Banda,,"",,"",,,,,1,,,,,,,,,,,,,,,
Banda de El Alvin,Inactiva,P,,,Banda,Pandilla,"",,"",,,1,,,,,,1,,,,,,,,,,,
Banda de El América,Inactiva,GLR,Banda de El Amarillo,,Banda,,"",,"",,,,,1,,,,,,,,,,,,,,,
Banda de El Balín,Inactiva,P,,,Banda,Pandilla,Los Rodolfos,,"",,,1,1,,,,,,,,,,,,,,,,
Banda de El Barney,Inactiva,OCE,,,Banda,Célula,"",,"",,1,,,,,,,,,,,,,,,,,,
Banda de El Bony,Activa,GLR,,,Banda,,"",,"",,,1,,,,,,,,,,1,,,1,,,,
Banda de El Borras,Inactiva,GLR,,,Banda,,"",,"",,,,,,,,,,,,,,,,,,,,
Banda de El Broca,Inactiva,P,,,Banda,Pandilla,"",,"",,,1,,,,,,,,,,,,,,,,,
Banda de El Cano y el Concho,Inactiva,GLR,,,Banda,,"",,"",,,1,1,,,,,,,,,,,,1,,,,
Banda de El Carreto,Inactiva,P,,,Banda,Pandilla,"",,"",,,1,,,,,,,,,,,,1,,,,,
Banda de El Charal,Inactiva,Z,Los Charales; Los Veintes; Los 20,,Banda,,Los 35-Z,,"",,,1,1,,,,,,,,,,,,,,1,,
Banda de El Charmin,Activa,GLR,,,Banda,,"",,"",,,1,,,,,,,,,,,,,,,,,
Banda de El Chita,Inactiva,GLR,,,Banda,,"",,"",,,,,1,,,,,,,,,,,,,,,
Banda de El Chori,Activa,P,,,Banda,Pandilla,Los Canchola,,"",,,1,1,,,,,,,,,,,,,,,,
Banda de El Cochambre,Activa,GLR,,,Banda,,Confederación Joven de México,,"",,,1,1,,,1,,,,,,,,,,,,,
Banda de El Cochiloco,Inactiva,GLR,,,Banda,,"",,"",,,,,1,,,,,,,,,,,,,,,
Banda de El Condor,Inactiva,P,,,Banda,Pandilla,"",,"",,,1,,,,,,,,,,,,,,,,,
Banda de El Cristian,Inactiva,P,,,Banda,Pandilla,"",,"",,,1,,,,,,,,,,,,1,,,,,
Banda de El Croquis,Activa,P,,,Banda,,"",Los Negros,"",,,,,,,,,,,,,,,,,,,,
Banda de El Cueros,Inactiva,P,,,Banda,Pandilla,"",,"",,,1,,,,,,,,,,,,1,,,,,
Banda de El Dilan,Inactiva,GLR,,,Banda,,La Unión Tepito,,"",,,1,1,,,,,,,,,,,,,,,,
Banda de El E.T,Activa,P,,,Banda,Pandilla,"",,"",,,1,,,,,,,,,,,,,,,,,
Banda de El Español,Inactiva,GLR,,,Banda,,"",,"",,,,1,,,,,,,,,,,,,,,,
Banda de El Flamas,Inactiva,P,,,Banda,Pandilla,"",,"",,,1,,,,,,,,,,,,1,,,,,
Banda de El Gabo,Inactiva,GLR,,,Banda,,"",,"",,,,,1,,,,,,,,,,,,,,,
Banda de El Gallo,Activa,P,,,Banda,Pandilla,"",,"",,,1,1,,,,,,,,,,,,,,,,
Banda de El Geisha,Inactiva,GLR,,,Banda,,"",,"",,,,,1,,,,,,,,,,,,,,,
Banda de El Gordo,Inactiva,P,,,Banda,Pandilla,"",,"",,,1,,,,,,,,,,,,,,,,,
Banda de El Grillo,Activa,P,,,Banda,,"",,"",,,,,,,,,,,,,,,,,,,,
Banda de El Huguito,Inactiva,GLR,,,Banda,,La Unión Tepito,,"",,,1,1,,,,,,,,,,,,,,,,
Banda de El Kaimán,Activa,P,,,Banda,,"",,"",,,,,,,,,,,,,,,,,,,,
Banda de El Linares,Inactiva,GLR,,,Banda,,La Unión Tepito,,"",,,1,1,,,,,,,,,,,,,,,,
Banda de El Loco Téllez,Activa,GLR,El Loco,,Banda,,"",,"",Hermanos Pérez Juan,,1,,,,1,,1,,,,,,,,,1,,
Banda de El Mamer,Activa,Z,,,Banda,,"",Los Zetas,Cártel Jalisco Nueva Generación; La Barredora,Banda de El Toñín; Sangre Nueva Zeta,,1,1,1,,1,,1,,,,,,,,,1,,
Banda de El Marino,Inactiva,GLR,,,Banda,,"",,"",,,,,1,,,,,,,,,,,,,,,
Banda de El Masero,Inactiva,P,,,Banda,Pandilla,"",Banda de El Tortillero,"",,,,,,,,,,,,,,,,,,,,
Banda de El Misael,Inactiva,P,,,Banda,,"",,"",,,,1,,,,,,,,,,,,,,,,
Banda de El Moco,Inactiva,GLR,,,Banda,,La Unión Tepito,,"",,,1,1,,,,,,,,,,,,,,,,
Banda de El Monterrey,Inactiva,GLR,,,Banda,,"",,"",,,,1,,,,,1,,,,,,,,,1,,
Banda de El Ocra,Inactiva,GLR,,,Banda,,"",,"",,,,,1,,,,,,,,,,,,,,,
Banda de El Parka,Inactiva,GLR,,,Banda,,"",,"",,,,,1,,,,,,,,,,,,,,,
Banda de El Pascual,Inactiva,CDS,,,Banda,,Los Uriarte,,"",,,,1,,,,,,,,,,,,,,,,
Banda de El Payaso,Inactiva,P,,,Banda,Pandilla,"",,"",,,1,,,,,,,,,,,,1,,,,,
Banda de El Pelón,Activa,P,,,Banda,Pandilla,"",,"",,,1,1,,,1,,,,,,,,,,,1,,
