Clave Municipio,Colonia,OC Identificada,Acumulado,2023 a 2025
1000,,Banda de la Riviera Maya,1,
1000,,Banda del Costeño,1,1
1000,,Cártel de Santa Rosa de Lima,1,1
1000,,Cártel de Sinaloa,1,1
1000,,Cártel del Noreste,1,1
1000,,Cártel Jalisco Nueva Generación,1,1
1000,,El 30,1,1
1000,,La Mafia Filipina,1,1
1000,,La Nueva Familia Michoacana,1,1
1000,,Los Chilangos (Quintana Roo),1,1
1000,,Los Ciclones,1,1
1000,,Los Cuinis,1,
1000,,Los Talibanes,1,1
1000,,Los Zetas Vieja Escuela,1,1
1000,,Organización criminal de la familia Meza Flores,1,
1001,,Cártel de Sinaloa,1,1
1001,,Cártel del Noreste,1,1
1001,,Cártel Jalisco Nueva Generación,1,1
1001,,La Nueva Familia Michoacana,1,1
1001,,La Oficina,1,1
1001,,Los Ciclones,1,1
1001,,Los Cuinis,1,1
1001,,Los Talibanes,1,1
1001,,Los Zetas Vieja Escuela,1,1
1001, Alameda,Cártel de Sinaloa,1,
1001, Alameda,Cártel Jalisco Nueva Generación,1,
1001, Alameda,Cárteles Unidos,1,
1001, Alameda,El 30,1,
1001, Colinas del Río,Cártel de Sinaloa,1,
1001, Colinas del Río,Cártel Jalisco Nueva Generación,1,
1001, Colinas del Río,Cárteles Unidos,1,
1001, Colinas del Río,El 30,1,
1001, Constitución,Fuerzas Especiales del Charro,1,
1001, El Hotelito,Cártel de Sinaloa,1,
1001, El Riego,Cártel de Sinaloa,1,
1001, España,Cártel de Sinaloa,1,
1001, Ex Hacienda La Cantera,Cártel de Sinaloa,1,
1001, Gómez,Cártel de Sinaloa,1,
1001, Guadalupe,Cártel Jalisco Nueva Generación,1,
1001, Hacienda San Marcos,Cártel Jalisco Nueva Generación,1,
1001, Insurgentes,Cártel de Sinaloa,1,
1001, Insurgentes,Fuerzas Especiales del Charro,1,
1001, Jesús Terán Peredo,Cártel de Sinaloa,1,
1001, La Estancia,Cártel de Sinaloa,1,
1001, Las Hadas,Cártel de Sinaloa,1,
1001, Lomas del Ajedrez,Fuerzas Especiales del Charro,1,
1001, Los Cuervos (Los Ojos de Agua),Cártel Jalisco Nueva Generación,1,
1001, Martinez Dominguez,Cártel de Sinaloa,1,
1001, Morelos 2a Sección,Cártel de Sinaloa,1,
1001, Morelos 2a Sección,Cártel Jalisco Nueva Generación,1,
1001, Morelos I,Cártel Jalisco Nueva Generación,1,
1001, Morelos INFONAVIT,Cárteles Unidos,1,
1001, Morelos INFONAVIT,El 30,1,
1001, Morelos INFONAVIT,Fuerzas Especiales del Charro,1,
1001, Norias de Ojocaliente,Cártel de Sinaloa,1,
1001, Ojocaliente II,Cártel de Sinaloa,1,
1001, Olivares Santana,Cártel de Sinaloa,1,
1001, Olivares Santana,Cártel Jalisco Nueva Generación,1,
1001, Olivares Santana,El 30,1,
1001, Parras,Cártel Jalisco Nueva Generación,1,
1001, Pilar Blanco INFONAVIT,Fuerzas Especiales del Charro,1,
1001, Pilar Blanco INFONAVIT,Los Pañales,1,
1001, Pintores Mexicanos,Cártel Jalisco Nueva Generación,1,
1001, San Cayetano,Cártel Jalisco Nueva Generación,1,
1001, San Marcos,Cártel Jalisco Nueva Generación,1,
1001,Centro Comercial Agropecuario de Aguascalientes,Fuerzas Especiales del Charro,1,1
1001,Cerrada de la Mezquitera,Fuerzas Especiales del Charro,,1
1001,Ciudad Industrial,Cártel de Sinaloa,1,1
1001,Constitución,Fuerzas Especiales del Charro,,1
1001,El Puertecito,Cártel de Sinaloa,1,
1001,El Riego,Cártel de Sinaloa,,1
1001,España,Cártel de Sinaloa,,1
1001,Ex Hacienda La Cantera,Cártel de Sinaloa,,1
1001,Gómez,Cártel de Sinaloa,,1
1001,Guadalupe,Cártel Jalisco Nueva Generación,,1
1001,Infonavit Morelos I,XXXV,1,
1001,Insurgentes,Cártel de Sinaloa,,1
1001,Insurgentes,Fuerzas Especiales del Charro,,1
1001,Jesús Terán Peredo,Cártel de Sinaloa,,1
1001,La Estrella,La Oficina,1,
1001,Las Hadas,Cártel de Sinaloa,,1
1001,Las Hadas,Cártel Jalisco Nueva Generación,1,1
1001,Lomas de Santa Anita,Los Gloria,1,
1001,Lomas del Ajedrez,Fuerzas Especiales del Charro,,1
1001,Los Cuervos (Los Ojos de Agua),Cártel Jalisco Nueva Generación,,1
1001,Macías Arellano,Los Monkikis,1,
1001,Martinez Dominguez,Cártel de Sinaloa,,1
1001,Morelos 2a Sección,Cártel de Sinaloa,,1
1001,Morelos 2a Sección,El 30,1,
1001,Morelos INFONAVIT,Cárteles Unidos,,1
1001,Morelos INFONAVIT,El 30,,1
1001,Morelos INFONAVIT,Fuerzas Especiales del Charro,,1
1001,Norias de Ojocaliente,Cártel de Sinaloa,,1
1001,Ojocaliente II,Cártel de Sinaloa,,1
1001,Olivares Santana,Cárteles Unidos,1,
1001,Pilar Blanco INFONAVIT,Fuerzas Especiales del Charro,,1
1001,Rodolfo Landeros Gallegos,Los Pañales,1,
1001,San Cayetano,Cártel de Sinaloa,,1
1001,San Cayetano,Cártel Jalisco Nueva Generación,,1
1001,San Marcos,Cártel de Sinaloa,,1
1001,San Marcos,Cártel Jalisco Nueva Generación,,1
1001,San Marcos,El Cártel del Primo,,1
1001,Santa Anita,Los Gloria,1,
1002,,Cártel de Sinaloa,1,1
1002,,Cártel Jalisco Nueva Generación,1,1
1002,,Gpo. Flechas Operativa M.Z.,1,1
1002,,La Nueva Familia Michoacana,1,1
1002,,La Oficina,1,1
1002,,Los Mazatlecos,1,1
1002,,Los Talibanes,1,1
1002,,Los Zetas Vieja Escuela,1,1
1003,,Banda zacatecana,1,
1003,,Cártel de Sinaloa,1,1
1003,,Cártel Jalisco Nueva Generación,1,1
1003,,La Nueva Familia Michoacana,1,1
1003,,La Oficina,1,1
1003,,Los Mazatlecos,1,1
1003,,Los Talibanes,1,1
1003,,Los Zetas Vieja Escuela,1,1
1003,La Panadera,Cártel Jalisco Nueva Generación,1,
1004,,Cártel de Sinaloa,1,1
1004,,Cártel de Sinaloa (Los Zambada),1,1
1004,,Cártel Jalisco Nueva Generación,1,1
1004,,Cárteles Unidos,1,1
1004,,El 30,1,1
1004,,Fuerzas Especiales del Charro,1,1
1004,,La Nueva Familia Michoacana,1,1
1004,,La Oficina,1,1
1004,,Los Mazatlecos,1,1
1004,,Los Talibanes,1,1
1004,,Los Zetas Vieja Escuela,1,1
1004,El Salero,Cártel de Sinaloa (Los Zambada),1,1
1005,,Cártel de Sinaloa,1,1
1005,,Cártel Jalisco Nueva Generación,1,1
1005,,La Nueva Familia Michoacana,1,1
1005,,La Oficina,1,1
1005,,Los Mazatlecos,1,1
1005,,Los Talibanes,1,1
1005,,Los Zetas Vieja Escuela,1,1
1005,Cieneguitas,Cártel Jalisco Nueva Generación,,1
1005,Margaritas,La Flecha,1,1
1005,Paseos de Aguascalientes,Cártel Jalisco Nueva Generación,1,1
1006,,Cártel de Sinaloa,1,1
1006,,Cártel Jalisco Nueva Generación,1,1
1006,,La Nueva Familia Michoacana,1,1
1006,,La Oficina,1,1
1006,,Los Mazatlecos,1,1
1006,,Los Talibanes,1,1
1006,,Los Zetas Vieja Escuela,1,1
1007,,Cártel de Sinaloa,1,1
1007,,Cártel Jalisco Nueva Generación,1,1
1007,,Cárteles Unidos,1,1
1007,,El 30,1,1
1007,,Fuerzas Especiales del Charro,1,1
1007,,La Nueva Familia Michoacana,1,1
1007,,La Oficina,1,1
1007,,Los Mazatlecos,1,1
1007,,Los Talibanes,1,1
1007,,Los Zetas Vieja Escuela,1,1
1007,Villa de Nuestra Señora de La Asunción Sector Alameda,Cártel Jalisco Nueva Generación,1,1
1009,,Cártel de Sinaloa,1,1
1009,,Cártel Jalisco Nueva Generación,1,1
1009,,La Nueva Familia Michoacana,1,1
1009,,La Oficina,1,1
1009,,Los Mazatlecos,1,1
1009,,Los Talibanes,1,1
1009,,Los Zetas Vieja Escuela,1,1
