Clave Municipio,OC Identificada,Colonias
1000,Banda de la Riviera Maya,""
1000,Banda del Costeño,""
1000,Cártel Jalisco Nueva Generación,""
1000,Cártel de Santa Rosa de Lima,""
1000,Cártel de Sinaloa,""
1000,Cártel del Noreste,""
1000,El 30,""
1000,La Mafia Filipina,""
1000,La Nueva Familia Michoacana,""
1000,Los Chilangos (Quintana Roo),""
1000,Los Ciclones,""
1000,Los Cuinis,""
1000,Los Talibanes,""
1000,Los Zetas Vieja Escuela,""
1000,Organización criminal de la familia Meza Flores,""
10000,Banda Montachoques,""
10000,Confederación Autónoma de Trabajadores y Empleados de México (CATEM),""
10000,Cártel Independiente de La Laguna,""
10000,Cártel Jalisco Nueva Generación,""
10000,Cártel de Caborca,""
10000,Cártel de Los Beltrán Leyva,""
10000,Cártel de Sinaloa,""
10000,Cártel de Sinaloa (Los Guzmán),""
10000,Cártel de Sinaloa (Los Zambada),""
10000,Fuerzas Especiales Unión,""
10000,Los Cabrera,""
10000,Los Jordan,""
10000,Los Mazatlecos,""
10000,Los Memos (de Sonora y Durango),""
10000,Los Números,""
10000,Los Salazar,""
10000,Los Salgueiro,""
10000,Los Scorpion,""
10000,Los Sierra,""
10001,Cártel de Sinaloa,""
10001,Cártel de Sinaloa (Los Zambada),""
10001,Gente Nueva,""
10002,Cártel Jalisco Nueva Generación,""
10002,Cártel de Sinaloa,""
10002,Cártel de Sinaloa (Los Zambada),""
10002,Los Cabrera,""
10003,Cártel de Sinaloa,""
10004,Confederación Autónoma de Trabajadores y Empleados de México (CATEM),""
10004,Cártel Jalisco Nueva Generación,""
10004,Cártel de Sinaloa,""
10004,Los Cabrera,""
10005,Banda de Martinica,Campestre de Durango
10005,Banda de Morcillo,San José de La Vinata; Morcillo
10005,Cártel de Sinaloa,Emiliano Zapata
10005,Cártel de Sinaloa (Los Guzmán),""
10005,Cártel de Sinaloa (Los Zambada),Cerro de Guadalupe; Guadalupe Victoria INFONAVIT; Morga
10005,Grupo del Guano,San Jorge
10005,Los Cabrera,Victoria de Durango
10005,Los Deltas (Los Guzmán),Nuevo Valle
10005,Los Ruachos,Victoria de Durango
10006,Cártel de Sinaloa,""
10007,Confederación Autónoma de Trabajadores y Empleados de México (CATEM),""
10007,Cártel de Sinaloa,""
10007,Los Cabrera,""
10007,Los Caimanes,""
10008,Cártel de Sinaloa,""
10009,Cártel de Sinaloa,""
10009,Gente Nueva,""
1001,Cártel Jalisco Nueva Generación,Alameda; Colinas del Río; Guadalupe; Hacienda San Marcos; Los Cuervos (Los Ojos de Agua); Morelos 2a Sección; Morelos I; Olivares Santana; Parras; Pintores Mexicanos; San Cayetano; San Marcos; Las Hadas
