legislatura,nombre,apellido_paterno,apellido_materno,partido
LXI,Renata,Cota,Álvarez,PRI
LXI,Sofía Yolanda,Gámez,Ruelas,PAN
LXI,Miguel Ángel,Camacho,Sánchez,PRI
LXI,Roque de Jesús,Chávez,López,PRI
LXI,Flor Esther,Gastélum,Vértiz,PRI
LXI,Ramón,Barajas,López,PRI
LXI,Sylvia Myriam,Chávez,López,PRI
LXI,Osbaldo,Ávila,Atondo,PRI
LXI,César Fredy,Montoya,Sánchez,PRI
LXI,Marco Antonio,Irízar,Cárdenas,PRI
LXI,Karen Angely,Alarcón,Meza,PRI
LXI,Óscar Javier,Valdez,López,PRI
LXI,José Manuel,Osuna,Lizárraga,PRI
LXI,Óscar,Félix,Ochoa,PRI
LXI,Carlos Enrique,López,Rochín,PRI
LXI,José Pilar,Sarabia,Ontiveros,PRI
LXI,Sinuhe Alberto,Bastidas,Icedo,PRI
LXI,Jorge Mario,Núñez,Osuna,PRI
LXI,Martín,Pérez,Torres,PRI
LXI,Jesús Trinidad,Osuna,Lizárraga,PRI
LXI,Claudia Liliana,Valdez,Aguilar,PRI
LXI,Víctor Manuel,Díaz,Simental,PRI
LXI,Gómer,Monárrez,Lara,PRI
LXI,Jesús Enrique,Hernández,Chávez,PRI
LXI,Sandra Yudith,Lara,Díaz,PRI
LXI,Jesús,Burgos,Pinto,PRI
LXI,Adolfo,Rojo,Montoya,PAN
LXI,Francisco,Solano,Urías,PAN
LXI,Laura,Galván,Uzeta,PAN
LXI,Yudit, del Rincón,Castro,PAN
LXI,Guadalupe,Carrizoza,Cháidez,PAN
LXI,María de la Luz,Ramírez,Rodríguez,PAN
LXI,Noé,Quevedo,Salazar,PAN
LXI,Robespierre,Lizárraga,Otero,PAN
LXI,María del Rosario,Sánchez,Zatarain,PAN
LXI,Imelda,Castro,Castro,PRD
LXI,Ramón,Lucas,Lizárraga,PRD
LXI,Leobardo,Alcántara,Martínez,PT
LXI,Mario,Imaz,López,PVEM
LXII,Gloria,González,Burboa,PRI
LXII,María Fernanda,Rivera,Romo,PAN
LXII,Jesús Antonio,Marcial,Liparoli,PRI
LXII,José Ramón,Balderrama,Palafox,PRI
LXII,Juan Pablo,Yamuni,Robles,PAN
LXII,Ana Cecilia,Moreno,Romero,PRI
LXII,Guillermo,Barreda,Gaxiola,PRI
LXII,José Antonio,Gutiérrez,Obeso,PRI
LXII,José Silvino,Zavala,Araujo,PRI
LXII,María Elena,Gómez,Jiménez,PRI
LXII,Víctor Manuel,Godoy,Angulo,PRI
LXII,José Santos,Aispuro,Calderón,PRI
LXII,Héctor David,Alarid,Rodríguez,PRI
LXII,Ismael,Arias,López,PRI
LXII,Tomás Roberto,Amador,Carrasco,PRI
LXII,Irma Guadalupe,Moreno,Ovalles,PRI
LXII,Emma Karina,Millán,Bueno,PRI
LXII,Juan Francisco,Jiménez,Gallegos,PRI
LXII,María Eugenia,Medina,Miyazaki,PRI
LXII,Margarita,Villaescusa,Rojo,PRI
LXII,Elsy,López,Montoya,PRI
