state.code,state.name,member.firstname,member.lastname1,member.lastname2,member.start_date,member.end_date
01,Aguascalientes,Arturo,Olguín,Miguel,2019-10-29,2021-06-01
01,Aguascalientes,Víctor Manuel,Lomelí,Carrera,2021-06-02,2023-10-15
01,Aguascalientes,Leonel,Alcaraz,Alarcón,2023-10-16,2024-07-04
01,Aguascalientes,Arody Salvador,Lorenzo,Bautista,2024-07-05,2024-11-20
01,Aguascalientes,Homero Edmundo,Blanco,Lozada,2024-11-21,2025-06-03
02,Baja California,Edgar,Segura,Ruiz,2019-10-29,2021-05-01
02,Baja California,Francisco Javier,Hernández,Almanza,2021-05-01,2022-06-01
02,Baja California,Jorge Enrique,Martínez,Medina,2022-06-01,2024-05-01
02,Baja California,Marco Antonio,Hernández,Chávez,2024-05-01,2024-11-14
02,Baja California,Héctor,Jiménez,Báez,2024-11-14,
03,Baja California Sur,Salvador,Naranjo,Armendáriz,2019-10-29,2021-07-29
03,Baja California Sur,Luis Gerardo,Meraz,Cuevas,2022-10-05,2022-10-05
03,Baja California Sur,Sinesio,Magaña,Ortiz,2022-10-05,2023-10-09
03,Baja California Sur,Homero Edmundo,Blanco,Lozada,2023-10-09,2024-08-02
03,Baja California Sur,Carlos Salvador,Hernández,Carvajal,2024-08-02,
04,Campeche,Federico,Prieto,Anota,2019-10-29,2022-09-01
04,Campeche,Francisco,Alvarado,Terán,2022-09-01,2023-08-22
04,Campeche,Israel,Caro,Martínez,2023-08-22,2025-04-30
04,Campeche,Omar,Díaz,Alcaraz,2025-04-30,
05,Coahuila,Joaquín David,Vázquez,Orozco,2019-07-30,2020-05-06
05,Coahuila,Gerardo,Serna,Melchor,2020-05-06,2022-11-07
05,Coahuila,Noé,Valdés,López,2022-11-07,2025-04-03
05,Coahuila,José Luis,Sedano,Ramírez,2025-04-04,
06,Colima,Domingo Tito,Bahena,Salgado,2019-10-29,2022-04-04
06,Colima,Francisco,Díaz,González,2022-04-04,2022-09-02
