state.code,state.name,member.firstname,member.lastname1,member.lastname2,member.start_date,member.end_date
01,Aguascalientes,Miguel Ángel,Barberena,Vega,1986-12-01,1992-11-01
01,Aguascalientes,Otto,Granados,Roldán,1992-12-01,1998-11-01
01,Aguascalientes,Felipe,González,González,1998-12-01,2004-08-01
01,Aguascalientes,Juan José,León,Rubio,2004-08-01,2004-11-01
01,Aguascalientes,Luis Armando,Reynoso,Femat,2004-12-01,2010-11-01
01,Aguascalientes,Carlos,Lozano,de la Torre,2010-12-01,2016-11-01
01,Aguascalientes,Martín,Orozco,Sandoval,2016-12-01,2022-09-01
01,Aguascalientes,María Teresa,Jiménez,Esquivel,2022-10-01,2028-09-29
02,Baja California,Ernesto,Ruffo,Appel,1989-11-01,1995-10-01
02,Baja California,Héctor,Terán,Terán,1995-11-01,1998-10-01
02,Baja California,Alejandro,González,Alcocer,1998-10-01,2001-10-01
02,Baja California,Eugenio,Elorduy,Walther,2001-11-01,2007-10-01
02,Baja California,José Guadalupe,Osuna,Millán,2007-11-01,2013-10-01
02,Baja California,Francisco Vega,Vega,De Lamadrid,2013-11-01,2019-10-01
02,Baja California,Jaime,Bonilla,Valdez,2019-11-01,2021-10-01
02,Baja California,Marina del Pilar,Ávila,Olmeda,2021-11-01,2027-10-31
03,Baja California Sur,Víctor Manuel,Liceaga,Ruibal,1987-04-01,1993-04-01
03,Baja California Sur,Guillermo,Mercado,Romero,1993-04-01,1999-04-01
03,Baja California Sur,Leonel,Cota,Montaño,1999-04-01,2005-04-01
03,Baja California Sur,Narciso,Agúndez,Montaño,2005-04-01,2011-04-01
03,Baja California Sur,Marcos,Covarrubias,Villaseñor,2011-04-01,2015-09-01
03,Baja California Sur,Carlos,Mendoza,Davis,2015-09-01,2021-09-01
03,Baja California Sur,Víctor Manuel,Castro,Cosío,2021-09-01,2027-08-31
04,Campeche,Jorge Salomón,Azar,García,1991-09-01,1997-09-01
04,Campeche,José Antonio,González,Curi,1997-09-01,2003-09-01
04,Campeche,Jorge Carlos,Hurtado,Valdez,2003-09-01,2009-09-01
04,Campeche,Fernando,Ortega,Bernés,2009-09-01,2015-09-01
04,Campeche,Alejandro,Moreno,Cárdenas,2015-09-01,2019-06-01
04,Campeche,Carlos Miguel,Aysa,González,2019-06-01,2021-09-01
04,Campeche,Layda,Sansores,San Román,2021-09-01,2027-08-31
07,Chiapas,José Patrocinio,González,Garrido,1988-12-01,1993-01-01
07,Chiapas,Elmar Harald,Setzer,Marseille,1993-01-01,1994-01-01
07,Chiapas,Javier,López,Moreno,1994-01-01,1994-12-01
07,Chiapas,Eduardo,Robledo,Rincón,1995-01-01,1995-12-01
07,Chiapas,Julio César,Ruiz,Ferro,1996-01-01,1998-01-01
07,Chiapas,Roberto,Albores,Guillén,1998-01-01,2000-12-01
07,Chiapas,Pablo,Salazar,Mendiguchía,2001-01-01,2006-12-01
07,Chiapas,Juan,Sabines,Guerrero,2007-01-01,2012-12-01
07,Chiapas,Manuel,Velasco,Coello,2012-12-01,2018-12-01
07,Chiapas,Rutilio,Escandón,Cadenas,2018-12-01,2024-12-01
07,Chiapas,Eduardo,Ramírez,Aguilar,2024-12-01,2030-11-30
08,Chihuahua,Fernando,Baeza,Meléndez,1986-10-01,1992-10-01
08,Chihuahua,Francisco,Barrio,Terrazas,1992-10-01,1998-10-01
08,Chihuahua,Patricio,Martínez,García,1998-10-01,2004-10-01
08,Chihuahua,José Reyes,Baeza,Terrazas,2004-10-01,2010-10-01
08,Chihuahua,César,Duarte,Jáquez,2010-10-01,2016-10-01
08,Chihuahua,Javier,Corral,Jurado,2016-10-01,2021-09-01
08,Chihuahua,María Eugenia,Campos,Galván,2021-09-01,2027-08-31
09,Ciudad de México,Cuauhtémoc,Cárdenas,Solórzano,1997-12-01,1999-09-01
09,Ciudad de México,Rosario,Robles,Berlanga,1999-09-01,2000-12-01
09,Ciudad de México,Andrés Manuel,López,Obrador,2000-12-01,2005-07-01
09,Ciudad de México,Alejandro,Encinas,Rodríguez,2005-07-01,2006-12-01
09,Ciudad de México,Marcelo,Ebrard,Casaubón,2006-12-01,2012-12-01
09,Ciudad de México,Miguel Ángel,Mancera,Espinosa,2012-12-01,2018-12-01
09,Ciudad de México,Claudia,Sheinbaum,Pardo,2018-12-01,2023-06-01
09,Ciudad de México,Martí,Batres,Guadarrama,2023-06-01,2024-12-01
09,Ciudad de México,Clara Marina,Brugada,Molina,2024-12-01,2030-11-30
05,Coahuila,Eliseo,Mendoza,Berrueto,1987-12-01,1993-11-01
05,Coahuila,Rogelio,Montemayor,Seguy,1993-12-01,1999-11-01
05,Coahuila,Enrique,Martínez,Martínez,1999-12-01,2005-11-01
05,Coahuila,Humberto,Moreira,Valdés,2005-12-01,2011-01-01
05,Coahuila,Jorge,Torres,López,2011-01-01,2011-11-01
05,Coahuila,Rubén,Moreira,Valdés,2011-12-01,2017-11-01
05,Coahuila,Miguel Ángel,Riquelme,Solís,2017-12-01,2023-11-01
