state.code,state.name,member.firstname,member.lastname1,member.lastname2,member.start_date,member.end_date
01,Aguascalientes,Rolando,Hidalgo,Eddy,2008-10-01,2014-12-09
01,Aguascalientes,Eduardo,Bahena,Pineda,2014-12-18,2018-10-01
01,Aguascalientes,Porfirio,Sánchez,Mendoza,2018-10-01,2022-02-03
01,Aguascalientes,Porfirio,Sánchez,Mendoza,2022-09-09,2022-11-17
01,Aguascalientes,Manuel,Alonso,García,2022-11-23,2025-03-01
01,Aguascalientes,Antonio,Martínez,Romo,2025-03-01,
02,Baja California,Daniel,De la Rosa,Anaya,2007-11-01,2017-10-26
02,Baja California,Gerardo Manuel,Sosa,Olachea,2017-10-26,2019-10-31
02,Baja California,Carlos,Alberto,Amezcua,2019-11-01,2021-12-31
02,Baja California,Gilberto,Landeros,Briseño,2022-01-01,2022-12-31
02,Baja California,Leopoldo Tizoc,Aguilar,Durán,2023-01-01,
03,Baja California Sur,Adán Enrique,Rufo,Velarde,2005-01-01,2007-12-31
03,Baja California Sur,Álvaro,De la Peña,Angulo,2008-01-01,2014-12-31
03,Baja California Sur,Ismael,Sigala,Paéz,2015-01-01,2017-12-31
03,Baja California Sur,Germán,Wong,López,2018-01-01,2021-08-31
03,Baja California Sur,Marco Antonio,Montoya,Gómez,2021-09-01,2022-05-24
03,Baja California Sur,Luis Alfredo,Cancino,Vicente,2022-05-25,
04,Campeche,Marcela,Muñoz,Martínez,2021-09-16,
04,Campeche,Samuel,Salgado,Serrano,2021-03-04,2021-09-15
04,Campeche,Jorge,Argáez,Uribe,2015-09-16,2021-03-03
05,Coahuila,Hugo Eduardo,Gutiérrez,Rodríguez,2024-11-21,
05,Coahuila,Federico,Fernández,Montañez,2018-12-01,2024-11-20
05,Coahuila,José Luis,Pliego,Corona,2018-03-23,2018-11-30
05,Coahuila,Fausto,Destenave,Kuri,2016-01-01,2018-03-22
05,Coahuila,Segismundo,Doguin,Martínez,2000-01-01,2005-11-30
06,Colima,Gerardo,Romero,Santana,2025-01-24,
06,Colima,Héctor Alfredo,Castillo,Báez,2022-09-28,2025-01-23
06,Colima,Miguel Ángel,García,Ramírez,2020-06-06,2022-09-27
06,Colima,Enrique,Sanmiguel,Sánchez,2018-07-01,2020-06-03
06,Colima,Hugo,Vázquez,Colorado,2018-02-01,2018-06-30
06,Colima,Francisco Javier,Castaño,Suárez,2016-08-01,2018-01-31
06,Colima,Eduardo,Villa,Valenzuela,2015-12-01,2016-07-31
07,Chiapas,Óscar Alberto,Aparicio,Avendaño,2024-12-01,
07,Chiapas,Gabriela del Socorro,Zepeda,Soto,2018-12-08,2024-11-30
07,Chiapas,Jorge,Llaven,Abarca,2012-01-01,2018-12-07
08,Chihuahua,Gilberto,Loya,Chávez,2021-09-08,
08,Chihuahua,Emilio,García,Ruiz,2020-01-01,2021-09-07
08,Chihuahua,Óscar Alberto,Aparicio,Avendaño,2016-10-01,2019-12-31
09,Ciudad de México,Pablo,Vázquez,Camacho,2023-09-09,
09,Ciudad de México,Omar,García,Harfuch,2019-10-04,2023-09-08
09,Ciudad de México,Jesús,Orta,Martínez,2018-12-05,2019-10-03
09,Ciudad de México,Raymundo,Collins,Flores,2018-07-21,2018-12-04
09,Ciudad de México,Hiram,Almeida,Estrada,2014-12-15,2018-07-20
09,Ciudad de México,Jesús,Rodríguez,Almeida,2012-11-30,2014-12-14
09,Ciudad de México,Manuel,Mondragón,y Kalb,2008-12-01,2012-11-29
09,Ciudad de México,Joel,Ortega,Cuéllar,2004-12-01,2008-11-30
09,Ciudad de México,Marcelo,Ebrard,Casaubón,2002-11-20,2004-11-30
09,Ciudad de México,Leonel,Godoy,Rangel,2000-12-05,2002-11-19
10,Durango,Oscar Armando,Galván,Villarreal,2022-09-15,
10,Durango,Iliana,Alvarado,Salinas,2022-04-01,2022-09-14
10,Durango,Roberto,Bravo,Ontiveros,2020-12-31,2022-03-31
10,Durango,Francisco Javier,Castrellón,Garza,2016-09-15,2020-12-30
10,Durango,Noel,Díaz,Rodríguez,2015-09-22,2016-09-14
10,Durango,Roberto,Flores,Mier,2013-02-23,2015-09-21
10,Durango,Jesús Antonio,Rosso,Holguín,2010-09-15,2013-02-22
11,Guanajuato,Juan Mauro,González,Martínez,2024-09-11,
11,Guanajuato,Álvar,Cabeza de Vaca,Appendini,2012-09-26,2024-09-10
11,Guanajuato,Miguel,Pizarro,Arzate,2010-03-01,2012-09-25
12,Guerrero,Josué,Barrón,Sevilla,2024-07-26,
12,Guerrero,Gabriel,Zamudio,López,2024-03-24,2024-07-25
12,Guerrero,Rolando,Solano,Rivera,2024-01-25,2024-03-14
12,Guerrero,Evelio,Méndez,Gómez,2021-10-15,2024-01-24
12,Guerrero,David,Portillo,Menchaca,2019-02-01,2021-10-14
12,Guerrero,Pedro,Almazán,Cervantes,2014-12-15,2018-12-31
12,Guerrero,Leonardo,Octavio,Vázquez Pérez,2014-01-13,2014-12-14
13,Hidalgo,Salvador,Cruz,Neri,2022-09-05,
13,Hidalgo,Mauricio,Delmar,Saavedra,2016-09-05,2022-09-04
13,Hidalgo,Alfredo,Ahedo,Mayorga,2011-04-01,2016-09-04
14,Jalisco,Juan Pablo,Hernández,González,2024-12-06,
14,Jalisco,Juan Bosco,Agustín Pacheco,Medrano,2019-11-15,2024-12-05
14,Jalisco,Daniel,Velasco,Ramírez,2018-12-06,2019-10-04
14,Jalisco,Raúl,Velázquez,Romero,2013-03-01,2018-12-05
14,Jalisco,Luis Carlos,Nájera,Gutiérrez de Velasco,2007-03-01,2013-02-28
15,México,Cristóbal,Castañeda,Camarillo,2024-06-17,
15,México,Andrés,Andrade,Téllez,2023-09-16,2024-06-16
15,México,Rodrigo,Martínez,Celis,2019-09-16,2023-09-15
15,México,Maribel,Cervantes,Guerrero,2017-09-16,2019-09-15
15,México,José Manzur,Quiroga,,2015-09-16,2017-09-15
15,México,Salvador,Nájera,Álvarez,2011-09-16,2015-09-15
16,Michoacán,Juan Carlos,Oseguera,Cortés,2024-06-21,
16,Michoacán,José Alfredo,Ortega,Reyes,2021-10-01,2024-06-20
16,Michoacán,Israel,Patrón,Reyes,2019-07-30,2021-09-30
16,Michoacán,José Martín,Godoy,Castro,2015-07-03,2019-07-29
16,Michoacán,Javier,Ocampo,García,2014-12-10,2015-07-02
16,Michoacán,Carlos Hugo,Castellanos,Becerra,2013-03-01,2014-12-09
16,Michoacán,Manuel,García,Ruiz,2010-08-08,2013-02-28
16,Michoacán,Minerva,Bautista,Gómez,2008-02-01,2010-08-07
17,Morelos,Miguel Ángel,Urrutia,Lozano,2024-09-30,
17,Morelos,José Antonio,Ortiz,Guarneros,2018-10-01,2024-09-29
17,Morelos,Jesús,Capella,Ibarra,2014-01-06,2018-09-30
17,Morelos,Gilberto,Toledano,Sánchez,2011-04-10,2014-01-05
17,Morelos,Gastón,Menchaca,Arias,2009-01-01,2011-04-09
18,Nayarit,Manasés,Langarica,Verdín,2024-05-02,
18,Nayarit,Jorge,Benito,Rodríguez,2018-10-04,2024-05-01
18,Nayarit,Javier,Herrera,Valles,2017-09-19,2018-10-03
18,Nayarit,Rodolfo,Ocampo,Pérez,2011-04-19,2017-09-18
18,Nayarit,Fernando,Alonso,Carvajal,2010-01-15,2011-04-18
19,Nuevo León,Gerardo,Escamilla,Vargas,2024-07-04,
19,Nuevo León,Gerardo,Palacios,Pámanes,2022-07-01,2024-07-03
19,Nuevo León,Aldo,Fasci,Zuazua,2018-11-06,2022-06-30
19,Nuevo León,Bernardo,González,Garza,2018-04-05,2018-11-05
19,Nuevo León,Arturo,González,García,2017-05-12,2018-04-04
19,Nuevo León,Cuauhtémoc,Antúnez,Pérez,2015-10-01,2017-05-11
19,Nuevo León,Javier,Del Real,Magallanes,2012-02-28,2015-09-30
19,Nuevo León,Jaime,Castañeda,Bravo,2011-02-03,2012-02-27
19,Nuevo León,Luis Carlos,Treviño,Berchelmann,2010-03-05,2011-02-02
19,Nuevo León,Carlos,Jáuregui,Hintze,2009-10-04,2010-03-04
20,Oaxaca,Iván,García,Álvarez,2022-12-01,
20,Oaxaca,Dalia,Baños,Noyola,2021-12-01,2022-11-30
20,Oaxaca,Heliodoro,Díaz,Escárraga,2021-04-09,2021-11-30
20,Oaxaca,Raúl Ernesto,Salcedo,Rosales,2019-06-25,2021-04-08
20,Oaxaca,José Raymundo,Tuñón,Jáuregui,2016-12-01,2019-06-24
20,Oaxaca,Jorge Alberto,Ruiz,Martínez,2015-03-16,2016-11-30
