member.role,member.firstname,member.lastname1,member.lastname2,member.start_date,member.end_date
Legislador,Heriberto Marcelo,Aguilar,Castillo,2024-08-29,2027-08-31
Legislador,José Antonio,Cruz Álvarez,Lima,2024-08-29,2027-08-31
Legislador,Ricardo,Anaya,Cortés,2024-08-29,2027-08-31
Legislador,Alberto,Anaya,Gutiérrez,2024-08-29,2027-08-31
Legislador,Claudia Edith,Anaya,Mota,2024-08-29,2027-08-31
Legislador,Pablo Guillermo,Angulo,Briceño,2024-08-29,2027-08-31
Legislador,Manuel,Añorve,Baños,2024-08-29,2027-08-31
Legislador,Alejandra Berenice,Arias,Trevilla,2024-08-29,2027-08-31
Legislador,Reyna Celeste,Ascencio,Ortega,2024-08-29,2027-08-31
Legislador,Anabell,Ávalos,Zempoalteca,2024-08-29,2027-08-31
Legislador,Armando,Ayala,Robles,2024-08-29,2027-08-31
Legislador,Geovanna del Carmen,Bañuelos,de la Torre,2024-08-29,2027-08-31
Legislador,María Alejandra,Barrales,Magdaleno,2024-08-29,2027-08-31
Legislador,Francisco Daniel,Barreda,Pavón ,2024-08-29,2027-08-31
Legislador,Raquel,Bonilla,Herrera ,2024-11-26,2027-08-31
Legislador,Jasmine María,Bugarín,Rodríguez,2024-08-29,2027-08-31
Legislador,Néstor,Camarillo,Medina,2024-08-29,2027-08-31
Legislador,Verónica Noemí,Camino,Farjat,2024-08-29,2027-08-31
Legislador,Gina Gerardina,Campuzano,González,2024-08-29,2027-08-31
Legislador,Óscar,Cantón,Zetina,2024-08-29,2027-08-31
Legislador,José Clemente,Castañeda,Hoeﬂich,2024-08-29,2027-08-31
Legislador,Laura Itzel,Castillo,Juárez,2024-08-29,2027-08-31
Legislador,Karen,Castrejón,Trujillo,2024-10-08,2027-08-31
Legislador,Imelda,Castro,Castro,2024-08-29,2027-08-31
Legislador,Alfonso,Cepeda,Salas,2024-08-29,2027-08-31
Legislador,Andrea,Chávez,Treviño,2024-08-29,2027-08-31
Legislador,María Guadalupe,Chavira,De La Rosa,2024-10-08,2027-08-31
Legislador,Francisco,Chíguil,Figueroa ,2024-10-08,2027-08-31
Legislador,Luis Donaldo,Colosio,Riojas,2024-08-29,2027-08-31
Legislador,María del Rocío,Corona,Nakamura,2024-08-29,2027-08-31
Legislador,Javier,Corral,Jurado,2024-08-29,2027-08-31
Legislador,Luisa,Cortés,García,2024-08-29,2027-08-31
Legislador,Marko Antonio,Cortés,Mendoza,2024-08-29,2027-08-31
Legislador,José Manuel,Cruz,Castellanos,2024-08-29,2027-08-31
Legislador,Homero,Davis,Castro,2024-08-29,2027-08-31
Legislador,Dora Luz,De León,Villard Sasil ,2024-08-29,2027-08-31
Legislador,Blanca Judith,Díaz,Delgado,2024-08-29,2027-08-31
Legislador,María de Jesús,Díaz,Marmolejo,2024-08-29,2027-08-31
Legislador,Verónica del Carmen,Díaz,Robles,2024-08-29,2027-08-31
Legislador,Agustín,Dorantes,Lámbarri,2024-08-29,2027-08-31
Legislador,Rosario Alejandro,Esquer,Verdugo,2024-08-29,2027-08-31
Legislador,Laura,Esquivel,Torres,2024-08-29,2027-08-31
Legislador,Laura,Estrada,Mauro,2024-08-29,2027-08-31
Legislador,Sandra Luz,Falcón,Venegas,2025-02-18,2027-08-31
Legislador,Waldo,Fernández,González,2024-08-29,2027-08-31
Legislador,José Gerardo Rodolfo,Fernández,Noroña,2024-08-29,2027-08-31
Legislador,Amalia Dolores,García,Medina,2024-08-29,2027-08-31
Legislador,Ángel,García,Yáñez,2024-08-29,2027-08-31
Legislador,José Ramón,Gómez,Leal,2024-08-29,2027-08-31
Legislador,Alma Anahí,González,Hernández,2024-08-29,2027-08-31
Legislador,Karen Michel,González,Márquez,2024-08-29,2027-08-31
Legislador,Ruth Miriam,González,Silva,2024-08-29,2027-08-31
Legislador,Alejandro,González,Yáñez,2024-08-29,2027-08-31
Legislador,Cecilia Guadalupe,Guadiana,Mandujano,2024-08-29,2027-08-31
Legislador,Juanita,Guerra,Mena,2024-08-29,2027-08-31
Legislador,Mariela,Gutiérrez,Escalante,2024-08-29,2027-08-31
Legislador,Susana,Harp,Iturribarría,2024-08-29,2027-08-31
Legislador,Ana Karen,Hernández,Aceves,2024-08-29,2027-08-31
Legislador,Gilberto,Hernández,Villafuerte,2024-08-29,2027-08-31
Legislador,José Sabino,Herrera,Dagdug,2024-08-29,2027-08-31
Legislador,Manuel Rafael,Huerta,Ladrón de Guevara,2024-08-29,2027-08-31
Legislador,Enrique,Inzunza,Cázarez,2024-08-29,2027-08-31
Legislador,Erik Iván,Jaimes,Archundia,2025-06-25,2027-08-31
Legislador,Miguel Pavel,Jarero,Velázquez,2024-08-29,2027-08-31
Legislador,María Martina,Kantún,Can,2024-08-29,2027-08-31
Legislador,Juan Carlos,Loera,De La Rosa,2024-08-29,2027-08-31
Legislador,Carlos,Lomelí,Bolaños,2024-08-29,2027-08-31
Legislador,Cynthia Iliana,López,Castro,2024-08-29,2027-08-31
Legislador,Adán Augusto,López,Hernández,2024-08-29,2027-08-31
Legislador,Edith,López,Hernández,2024-08-29,2027-08-31
Legislador,Virginia Marie,Magaña,Fonseca,2024-08-29,2027-08-31
Legislador,Miguel,Márquez,Márquez,2024-08-29,2027-08-31
Legislador,Juan Antonio,Martín del Campo,Martín del Campo,2024-08-29,2027-08-31
Legislador,Mayuli Latifa,Martínez,Simón,2024-08-29,2027-08-31
Legislador,Luis Armando,Melgar,Bravo,2024-08-29,2027-08-31
Legislador,Virgilio,Mendoza,Amezcua,2024-08-29,2027-08-31
Legislador,Víctor Aureliano,Mercado,Salgado,2024-08-29,2027-08-31
Legislador,Martha Lucía,Micher,Camarena,2024-08-29,2027-08-31
Legislador,Moisés Ignacio,Mier,Velazco,2024-08-29,2027-08-31
Legislador,Beatriz,Mojica,Morga,2024-08-29,2027-08-31
Legislador,Saúl,Monreal,Ávila,2024-08-29,2027-08-31
Legislador,Antonino,Morales,Toledo,2024-08-29,2027-08-31
Legislador,Rafael Alejandro,Moreno,Cárdenas,2024-08-29,2027-08-31
Legislador,Raúl,Morón,Orozco,2024-08-29,2027-08-31
Legislador,Alejandro Ismael,Murat,Hinojosa,2024-08-29,2027-08-31
Legislador,María Guadalupe,Murguía,Gutiérrez,2024-08-29,2027-08-31
Legislador,Cuauhtémoc,Ochoa,Fernández,2024-08-29,2027-08-31
Legislador,Sandra Simey,Olvera,Bautista,2024-08-29,2027-08-31
Legislador,Maki Esther,Ortiz,Domínguez,2024-08-29,2027-08-31
Legislador,Aníbal,Ostoa,Ortega,2024-08-29,2027-08-31
Legislador,Yeidckol,Polevnsky,Gurwitz,2024-08-29,2027-08-31
Legislador,Francisco Javier,Ramírez,Acuña,2024-08-29,2027-08-31
Legislador,Jorge Carlos,Ramírez,Marín,2024-08-29,2027-08-31
Legislador,Julieta Andrea,Ramírez,Padilla,2024-08-29,2027-08-31
Legislador,Emmanuel,Reyes,Carmona,2024-09-05,2027-08-31
