alias,municipality,state
Los Mochis,Ahome,Sinaloa
Culiacán de Rosales,Culiacán,Sinaloa
Mazatlán de Juárez,Mazatlán,Sinaloa
Playa del Carmen,Solidaridad,Quintana Roo
Cancún,Benito Juárez,Quintana Roo
Chetumal,Othón P. Blanco,Quintana Roo
Villahermosa,Centro,Tabasco
Cabo San Lucas,Los Cabos,Baja California Sur
San José del Cabo,Los Cabos,Baja California Sur
Ciudad Constitución,Comondú,Baja California Sur
Puerto San Carlos,Comondú,Baja California Sur
Ciudad del Carmen,Carmen,Campeche
Ciudad Hidalgo,Suchiate,Chiapas
Ciudad Juárez,Juárez,Chihuahua
Ciudad Acuña,Acuña,Coahuila
Ciudad Melchor Múzquiz,Múzquiz,Coahuila
Victoria de Durango,Durango,Durango
Ciudad Altamirano,Pungarabato,Guerrero
Ciudad de Huitzuco,Huitzuco de los Figueroa,Guerrero
Huitzuco,Huitzuco de los Figueroa,Guerrero
Ciudad Guzmán,Zapotlán el Grande,Jalisco
Ciudad Hidalgo,Hidalgo,Michoacán
Jiquilpan de Juárez,Jiquilpan,Michoacán
Tres Marías,Huitzilac,Morelos
Jalpan,Jalpan de Serra,Querétaro
Ciudad Obregón,Cajeme,Sonora
Navojoa de Carrillo,Navojoa,Sonora
Tlaxcala de Xicohténcatl,Tlaxcala,Tlaxcala
