original_index,Municipio,Presidente Municipal,Inicio,Conclusión,full_code,firstname,lastname1,lastname2
0,Aguascalientes,RICARDO MAGDALENO RODRIGUEZ,2002-01-01,2004-12-31,1001,Ricardo,Magdaleno,Rodriguez
1,Aguascalientes,MARTIN OROZCO SANDOVAL,2005-01-01,2007-12-31,1001,Martin,Orozco,Sandoval
2,Aguascalientes,FRANCISCO GABRIEL ARELLANO ESPINOSA,2008-01-01,2010-12-31,1001,Francisco Gabriel,Arellano,Espinosa
3,Aguascalientes,LORENA MARTINEZ RODRIGUEZ,2011-01-01,2013-12-31,1001,Lorena,Martinez,Rodriguez
4,Aguascalientes,MARIA TERESA JIMENEZ ESQUIVEL,2017-01-01,2019-03-31,1001,Maria Teresa,Jimenez,Esquivel
5,Aguascalientes,MARTHA MIRIAM RODRIGUEZ PISCAREÑO,2019-04-01,2019-10-14,1001,Martha Miriam,Rodriguez,Piscareño
6,Aguascalientes,MARIA TERESA JIMENEZ ESQUIVEL,2019-10-15,2021-10-14,1001,Maria Teresa,Jimenez,Esquivel
7,Aguascalientes,LEONARDO MONTAÑEZ CASTRO,2021-10-15,2027-10-14,1001,Leonardo,Montañez,Castro
8,Asientos,RAUL REYES MACIAS,2002-01-01,2004-12-31,1002,Raul,Reyes,Macias
9,Asientos,SALVADOR DAVILA MONTOYA,2005-01-01,2004-12-31,1002,Salvador,Davila,Montoya
10,Asientos,JOSE LUIS REYES MEDINA,2008-01-01,2010-12-31,1002,Jose Luis,Reyes,Medina
11,Asientos,BAUDELIO ESPARZA REYES,2011-01-01,2013-12-31,1002,Baudelio,Esparza,Reyes
12,Asientos,JOSE MANUEL GONZALEZ MOTA,2014-01-01,2016-12-31,1002,Jose Manuel,Gonzalez,Mota
13,Asientos,LORENZO MARTIN CARRILLO LARA,2017-01-01,2019-10-14,1002,Lorenzo Martin,Carrillo,Lara
14,Asientos,JUAN LUIS JASSO HERNANDEZ,2019-10-15,2021-10-14,1002,Juan Luis,Jasso,Hernandez
15,Asientos,JOSE MANUEL GONZALEZ MOTA,2021-10-15,2024-10-14,1002,Jose Manuel,Gonzalez,Mota
16,Asientos,JOSE MANUEL GONZELEZ MOTA,2024-10-15,2027-10-14,1002,Jose Manuel,Gonzelez,Mota
17,Calvillo,HUMBERTO GALLEGOS ESCOBAR,2005-01-01,2007-12-31,1003,Humberto,Gallegos,Escobar
18,Calvillo,JESUS SOTO LOPEZ,2008-01-01,2010-12-31,1003,Jesus,Soto,Lopez
19,Calvillo,JORGE ALBERTO MARTINEZ VILLALOBOS,2011-01-01,2013-12-31,1003,Jorge Alberto,Martinez,Villalobos
20,Calvillo,FRANCISCO JAVIER LUEVANO NUÑEZ,2014-01-01,2016-12-31,1003,Francisco Javier,Luevano,Nuñez
21,Calvillo,FRANCISCO JAVIER LUEVANO MARTINEZ,2017-01-01,2019-10-14,1003,Francisco Javier,Luevano,Martinez
22,Calvillo,ADAN VALDIVIA LOPEZ,2019-10-15,2021-10-14,1003,Adan,Valdivia,Lopez
23,Calvillo,DANIEL ROMO URRUTIA,2021-10-15,2027-10-14,1003,Daniel,Romo,Urrutia
24,Cosío,ARNULFO CERVANTES ADAME,2002-01-01,2004-12-31,1004,Arnulfo,Cervantes,Adame
25,Cosío,LAMBERTO ADAME OCON,2005-01-01,2007-12-31,1004,Lamberto,Adame,Ocon
26,Cosío,GUSTAVO PADILLA ADAME,2014-01-01,2016-12-31,1004,Gustavo,Padilla,Adame
27,Cosío,JUAN MANUEL VILLALPANDO ADAME,2017-01-01,2019-10-14,1004,Juan Manuel,Villalpando,Adame
28,Cosío,EUSEBIO ENRIQUE DELGADO ESPARZA,2019-10-15,2024-10-14,1004,Eusebio Enrique,Delgado,Esparza
29,Cosío,FRANCISCO JAVIER DOMINGUEZ LOPEZ,2024-10-15,2027-10-14,1004,Francisco Javier,Dominguez,Lopez
30,Jesús María,GILBERTO RODRIGUEZ DOMINGUEZ,2002-01-01,2004-12-31,1005,Gilberto,Rodriguez,Dominguez
31,Jesús María,LUIS FERNANDO FLORES MARTINEZ,2005-01-01,2007-12-31,1005,Luis Fernando,Flores,Martinez
32,Jesús María,GREGORIO ZAMARRIPA DELGADO,2008-01-01,2010-12-31,1005,Gregorio,Zamarripa,Delgado
33,Jesús María,JOSE ANTONIO ARAMBULA LOPEZ,2014-01-01,2016-12-31,1005,Jose Antonio,Arambula,Lopez
34,Jesús María,NOEL MATA ATILANO,2017-01-01,2019-10-14,1005,Noel,Mata,Atilano
35,Jesús María,JOSE ANTONIO ARAMBULA LOPEZ,2019-10-15,2024-10-14,1005,Jose Antonio,Arambula,Lopez
36,Jesús María,CESAR FERNANDO MEDINA CERVANTES,2024-10-15,2027-10-14,1005,Cesar Fernando,Medina,Cervantes
37,Pabellón de Arteaga,EDUARDO CONSTANTINO TORRES CAMPOS,2005-01-01,2007-12-31,1006,Eduardo Constantino,Torres,Campos
38,Pabellón de Arteaga,ARTURO FERNANDEZ ESTRADA,2008-01-01,2010-12-31,1006,Arturo,Fernandez,Estrada
39,Pabellón de Arteaga,HECTOR RAUL GARCIA LUNA,2011-01-01,2013-12-31,1006,Hector Raul,Garcia,Luna
40,Pabellón de Arteaga,SERGIO MORENO SERNA,2014-01-01,2016-12-31,1006,Sergio,Moreno,Serna
41,Pabellón de Arteaga,CUAUHTEMOC ESCOBEDO TEJEDA,2017-01-01,2019-10-14,1006,Cuauhtemoc,Escobedo,Tejeda
42,Pabellón de Arteaga,CUAUHTEMOC ESCOBEDO TEJADA,2019-10-15,2021-10-14,1006,Cuauhtemoc,Escobedo,Tejada
43,Pabellón de Arteaga,HUMBERTO AMBRIZ DELGADILLO,2021-10-15,2024-10-14,1006,Humberto,Ambriz,Delgadillo
44,Pabellón de Arteaga,LUCERO ESPINOZA VAZQUEZ,2024-10-15,2027-10-14,1006,Lucero,Espinoza,Vazquez
45,Rincón de Romos,JOSE MANUEL VALDEZ GOMEZ,2002-01-01,2004-12-31,1007,Jose Manuel,Valdez,Gomez
46,Rincón de Romos,JUAN MANUEL MENDEZ NORIEGA,2005-01-01,2007-12-31,1007,Juan Manuel,Mendez,Noriega
47,Rincón de Romos,UBALDO TREVIÑO SOLEDAD,2008-01-01,2010-12-31,1007,Ubaldo,Treviño,Soledad
48,Rincón de Romos,ROBERTO ROMO MARIN,2011-01-01,2013-12-31,1007,Roberto,Romo,Marin
49,Rincón de Romos,FERNANDO MARMOLEJO MONTOYA,2014-01-01,2016-12-31,1007,Fernando,Marmolejo,Montoya
50,Rincón de Romos,FRANCISCO JAVIER RIVERA LUEVANO,2017-01-01,2019-10-14,1007,Francisco Javier,Rivera,Luevano
51,Rincón de Romos,JESUS PRIETO DIAZ,2019-10-15,2021-10-14,1007,Jesus,Prieto,Diaz
52,Rincón de Romos,FRANCISCO JAVIER RIVERA LUEVANO,2021-10-15,2024-10-14,1007,Francisco Javier,Rivera,Luevano
53,Rincón de Romos,ERIK MURO SANCHEZ,2024-10-15,2027-10-14,1007,Erik,Muro,Sanchez
54,San José de Gracia,FIDEL MARTINEZ REYES,2002-01-01,2004-12-31,1008,Fidel,Martinez,Reyes
55,San José de Gracia,PEDRO ARMENDARIZ GARCIA,2005-01-01,2007-12-31,1008,Pedro,Armendariz,Garcia
56,San José de Gracia,ARMANDO RODRIGUEZ DOMINGUEZ,2008-01-01,2010-12-31,1008,Armando,Rodriguez,Dominguez
57,San José de Gracia,JUAN ANTONIO HERNANDEZ VALDIVIA,2011-01-01,2013-12-31,1008,Juan Antonio,Hernandez,Valdivia
58,San José de Gracia,ANTONIO ALBERTO MARTINEZ RODRIGUEZ,2014-01-01,2016-12-31,1008,Antonio Alberto,Martinez,Rodriguez
59,San José de Gracia,MARIA CRISTINA LOPEZ GONZALEZ,2017-01-01,2021-10-14,1008,Maria Cristina,Lopez,Gonzalez
60,San José de Gracia,ARMANDO RODRÍGUEZ DOMÍNGUEZ,2021-10-15,2022-09-29,1008,Armando,Rodríguez,Domínguez
61,San José de Gracia,LUIS MANUEL REYES GONZALEZ,2022-09-30,2024-10-14,1008,Luis Manuel,Reyes,Gonzalez
62,San José de Gracia,LAURA ARACELI GONZÁLEZ REYES,2024-10-15,2027-10-14,1008,Laura Araceli,González,Reyes
63,Tepezalá,PEDRO SANTILLAN NIETO,2002-01-01,2004-12-31,1009,Pedro,Santillan,Nieto
64,Tepezalá,JORGE CRUZ PERALTA,2005-01-01,2007-12-31,1009,Jorge,Cruz,Peralta
65,Tepezalá,CANDIDO LOZA LOZA,2008-01-01,2010-12-31,1009,Candido,Loza,Loza
66,Tepezalá,JESUS SANTILLAN MEDINA,2011-01-01,2013-12-31,1009,Jesus,Santillan,Medina
67,Tepezalá,PABLO MACIAS FLORES,2014-01-01,2016-12-31,1009,Pablo,Macias,Flores
68,Tepezalá,OMAR ISRAEL CAMARILLO,2017-01-01,2021-10-14,1009,Omar,Israel,Camarillo
69,Tepezalá,LETICIA OLIVARES JIMENEZ,2021-10-15,2024-10-14,1009,Leticia,Olivares,Jimenez
70,Tepezalá,LETICIA OLIVARES JIMÉNEZ,2024-10-15,2027-10-14,1009,Leticia,Olivares,Jiménez
71,El Llano,FRANCISCO SILVA MURILLO,2002-01-01,2004-12-31,1010,Francisco,Silva,Murillo
72,El Llano,SALVADOR MARTIN DEL CAMPO,2008-01-01,2010-12-31,1010,Salvador Martin,Del,Campo
73,El Llano,JOSE LUIS MARTINEZ RODRIGUEZ,2011-01-01,2013-12-31,1010,Jose Luis,Martinez,Rodriguez
74,El Llano,CEZAR PEDROZA ORTEGA,2014-01-01,2016-12-31,1010,Cezar,Pedroza,Ortega
75,El Llano,RAMIRO SALAS PIZAÑA,2017-01-01,2019-10-14,1010,Ramiro,Salas,Pizaña
76,El Llano,CEZAR PEDROZA ORTEGA,2019-10-15,2024-10-14,1010,Cezar,Pedroza,Ortega
77,El Llano,JORGE DELGADO IBARRA,2024-10-15,2027-10-14,1010,Jorge,Delgado,Ibarra
78,San Francisco de los Romo,REFUGIO LARA MARTINEZ,2002-01-01,2004-12-31,1011,Refugio,Lara,Martinez
79,San Francisco de los Romo,Z. RAUL RAMIREZ FRANCO,2005-01-01,2007-12-31,1011,Z. Raul,Ramirez,Franco
80,San Francisco de los Romo,EFRAIN CASTILLO VALADEZ,2008-01-01,2010-12-31,1011,Efrain,Castillo,Valadez
81,San Francisco de los Romo,FRANCISCO JAVIER GUEL SOSA,2011-01-01,2013-12-31,1011,Francisco Javier,Guel,Sosa
82,San Francisco de los Romo,MARGARITA GALLEGOS SOTO,2014-01-01,2016-12-31,1011,Margarita,Gallegos,Soto
83,San Francisco de los Romo,JUAN JOSE LOSOYA PONCE,2019-10-15,2021-10-14,1011,Juan Jose,Losoya,Ponce
84,San Francisco de los Romo,MARGARITA GALLEGOS SOTO,2021-10-15,2027-10-14,1011,Margarita,Gallegos,Soto
85,Ensenada,JORGE ANTONIO CATALAN SOSA,2001-12-01,2004-11-30,2001,Jorge Antonio,Catalan,Sosa
86,Ensenada,CESAR MANCILLAS AMADOR,2004-12-01,2007-11-30,2001,Cesar,Mancillas,Amador
87,Ensenada,PABLO ALEJO LOPEZ NUÑEZ,2007-12-01,2010-11-30,2001,Pablo Alejo,Lopez,Nuñez
88,Ensenada,ENRIQUE PELAYO TORRES,2010-12-01,2013-11-30,2001,Enrique,Pelayo,Torres
89,Ensenada,GILBERTO ANTONIO HIRATA CHICO,2013-12-01,2016-11-30,2001,Gilberto Antonio,Hirata,Chico
90,Ensenada,MARCO ANTONIO NOVELO OZUNA,2016-12-01,2019-09-30,2001,Marco Antonio,Novelo,Ozuna
91,Ensenada,ARMANDO AYALA ROBLES,2019-10-01,2024-09-30,2001,Armando,Ayala,Robles
92,Ensenada,CLAUDIA AGATON MUÑIZ,2024-10-01,2027-09-30,2001,Claudia,Agaton,Muñiz
93,Mexicali,JAIME DIAZ OCHOA,2001-12-01,2004-11-30,2002,Jaime,Diaz,Ochoa
