Estado,Organización A,Organización B,2022,2023,2024,2025,Relación
,Ántrax,Cártel de Santa Rosa de Lima,1,,,,Alianza
,Ántrax,Cártel Nueva Plaza,1,,,,Alianza
,Autodefensas de Chenalhó,El Machete,1,,,,Alianza
,Autodefensas de Quintana Roo,Cártel Jalisco Nueva Generación,1,,,,Alianza
,Autodefensas de San Cristóbal,Cártel de San Juan Chamula,1,,,,Alianza
,Autodefensas de Tepalcatepec,Cárteles Unidos,1,,,,Alianza
,Banda de Cajititlán,Banda de El Alvin,1,,,,Alianza
,Banda de Cajititlán,Banda de El Borras,1,,,,Alianza
,Banda de El América,Banda de El Talachas,1,,,,Alianza
,Banda de El Español,Cártel Jalisco Nueva Generación,1,,,,Alianza
Puebla,Banda de El Mamer,Cártel Jalisco Nueva Generación,,,,2,Alianza
Puebla,Banda de El Mamer,La Barredora,,,,2,Alianza
Tlaxcala,Banda de El Mamer,Cártel Jalisco Nueva Generación,,,,2,Alianza
Tlaxcala,Banda de El Mamer,La Barredora,,,,2,Alianza
,Banda de El Toñín,Cártel Jalisco Nueva Generación,1,,,,Alianza
Nuevo León,Banda de La Dueña,La Línea,,,,1,Alianza
Puebla,Banda de La Dueña,La Línea,,,,1,Alianza
San Luis Potosí,Banda de La Dueña,La Línea,,,,1,Alianza
Tamaulipas,Banda de La Dueña,La Línea,,,,1,Alianza
Veracruz,Banda de La Dueña,La Línea,,,,1,Alianza
,Banda de la Riviera Maya,Los Bonfiles,1,,,,Alianza
,Banda del Chore,La Barredora,1,,,,Alianza
,Banda del Chore,Los Cebús,1,,,,Alianza
,Banda del Cuervo,La Barredora,1,,,,Alianza
,Banda del Gordo Frank,Cártel del Noreste,1,,,,Alianza
,Banda del Gordo Frank,Cártel Jalisco Nueva Generación,1,,,,Alianza
Quintana Roo,Banda del Hindú,Cártel de Sinaloa,,2,,,Alianza
Campeche,Banda del Menona,Cártel de Sinaloa,,4,,,Alianza
,Banda del Poncho,Cártel Jalisco Nueva Generación,1,,,,Alianza
Baja California,Cabo 24,Fuerzas Especiales del Ranchero,,,,1,Alianza
Chiapas,Cártel Chiapas y Guatemala,El Maíz,,,,5,Alianza
Chiapas,Cártel Chiapas y Guatemala,Kaibiles,,,,2,Alianza
Chihuahua,Cártel de Caborca,Los Artistas Asesinos,,,,1,Alianza
Chihuahua,Cártel de Caborca,Los Jaguares,,,,1,Alianza
Chihuahua,Cártel de Caborca,Los Paredes,,,,1,Alianza
Chihuahua,Cártel de Caborca,Los Salazar,,,,1,Alianza
Guerrero,Cártel de Caborca,Cártel de Sinaloa (Los Zambada),,,,1,Alianza
México,Cártel de Caborca,Los Peluches,,5,8,,Alianza
Morelos,Cártel de Caborca,La Barredora,,,,1,Alianza
Puebla,Cártel de Caborca,La Barredora,,,,1,Alianza
Quintana Roo,Cártel de Cancún,Cártel de Sinaloa,,,,1,Alianza
Yucatán,Cártel de Cancún,Cártel de Sinaloa,,1,,,Alianza
,Cártel de Ensenada,Cártel de Sinaloa (Los Guzmán),1,,,,Alianza
,Cártel de Ensenada,Los Ninis,1,,,,Alianza
,Cártel de Juchitán,Cártel de Oaxaca,1,,,,Alianza
,Cártel de Juchitán,Sindicato Libertad,1,,,,Alianza
Oaxaca,Cártel de Juchitán,Cártel Jalisco Nueva Generación,,,,1,Alianza
,Cártel de la Costa,Cártel de Caborca,1,,,,Alianza
Michoacán,Cártel de la Virgen,Cártel Jalisco Nueva Generación,,,3,1,Alianza
Michoacán,Cártel de la Virgen,Los Blancos de Troya,,,3,1,Alianza
Michoacán,Cártel de la Virgen,Los Viagra,,,3,1,Alianza
Nuevo León,Cártel de Los Alemanes,Los Metros,,1,,,Alianza
San Luis Potosí,Cártel de los Alemanes,Cártel del Golfo,,,,3,Alianza
Baja California,Cártel de Los Arellano Félix,El Chan,,,,1,Alianza
Baja California,Cártel de Los Arellano Félix,EL Kieto,,,,1,Alianza
Baja California Sur,Cártel de Los Arellano Félix,El Chan,,,,2,Alianza
Baja California Sur,Cártel de Los Arellano Félix,EL Kieto,,,,2,Alianza
Chihuahua,Cártel de Los Arellano Félix,El Chan,,,,4,Alianza
Chihuahua,Cártel de Los Arellano Félix,EL Kieto,,,,4,Alianza
Colima,Cártel de Los Arellano Félix,El Chan,,,,3,Alianza
Colima,Cártel de Los Arellano Félix,EL Kieto,,,,3,Alianza
Guanajuato,Cártel de Los Arellano Félix,Cártel Jalisco Nueva Generación,,,1,,Alianza
Michoacán,Cártel de Los Arellano Félix,El Chan,,,,1,Alianza
Michoacán,Cártel de Los Arellano Félix,EL Kieto,,,,1,Alianza
Nayarit,Cártel de Los Arellano Félix,El Chan,,,,3,Alianza
Nayarit,Cártel de Los Arellano Félix,EL Kieto,,,,3,Alianza
Puebla,Cártel de Los Arellano Félix,El Chan,,,,1,Alianza
Puebla,Cártel de Los Arellano Félix,EL Kieto,,,,1,Alianza
Sinaloa,Cártel de Los Arellano Félix,El Chan,,,,4,Alianza
Sinaloa,Cártel de Los Arellano Félix,EL Kieto,,,,4,Alianza
Sonora,Cártel de Los Arellano Félix,El Chan,,,,4,Alianza
Sonora,Cártel de Los Arellano Félix,EL Kieto,,,,4,Alianza
,Cártel de los Ministeriales,Cártel Jalisco Nueva Generación,1,,,,Alianza
Michoacán,Cártel de Los Reyes,Cártel de Tepalcatepec,,,1,8,Alianza
Michoacán,Cártel de Los Reyes,Cárteles Unidos,,,,4,Alianza
,Cártel de Oaxaca,Cártel de Juchitán,1,,,,Alianza
,Cártel de Oaxaca,Sindicato Libertad,1,,,,Alianza
Puebla,Cártel de Puebla,Gente Nueva del Sur,,,,1,Alianza
Guanajuato,Cártel de Santa Rosa de Lima,Cártel de Sinaloa,,,,4,Alianza
Guanajuato,Cártel de Santa Rosa de Lima,Cártel de Sinaloa (Los Zambada),,,,1,Alianza
Guanajuato,Cártel de Santa Rosa de Lima,Cártel del Golfo,,,,4,Alianza
Guanajuato,Cártel de Santa Rosa de Lima,Cárteles Unidos,,,1,,Alianza
Guanajuato,Cártel de Santa Rosa de Lima,La Unión Tepito,,,,1,Alianza
Guanajuato,Cártel de Santa Rosa de Lima,Los Escorpiones,,,,11,Alianza
Michoacán,Cártel de Santa Rosa de Lima,Cárteles Unidos,,2,,,Alianza
Querétaro,Cártel de Santa Rosa de Lima,Cártel de Sinaloa (Los Zambada),,,,1,Alianza
Querétaro,Cártel de Santa Rosa de Lima,Los Escorpiones,,,,2,Alianza
Yucatán,Cártel de Santa Rosa de Lima,Los Escorpiones,,,,1,Alianza
Chihuahua,Cártel de Sinaloa,Los Reyes,,2,,,Alianza
Durango,Cártel de Sinaloa,Los Cabrera,,,38,,Alianza
Guanajuato,Cártel de Sinaloa,Cártel de Santa Rosa de Lima,,,3,,Alianza
Guerrero,Cártel de Sinaloa,Cártel Independiente de Acapulco,,,1,,Alianza
Guerrero,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,,1,,Alianza
Baja California Sur,Cártel de Sinaloa (Los Guzmán),La Empresa,,,,1,Alianza
Chihuahua,Cártel de Sinaloa (Los Guzmán),Gente Nueva del Jaguar,,,,1,Alianza
Chihuahua,Cártel de Sinaloa (Los Guzmán),Los Cazadores,,,,1,Alianza
Chihuahua,Cártel de Sinaloa (Los Guzmán),Los Gigios,,,,1,Alianza
Chihuahua,Cártel de Sinaloa (Los Guzmán),Los Mexicles,,,,1,Alianza
Chihuahua,Cártel de Sinaloa (Los Guzmán),Los Paredes,,,,1,Alianza
Chihuahua,Cártel de Sinaloa (Los Guzmán),Los Salgueiro,,,,1,Alianza
Durango,Cártel de Sinaloa (Los Guzmán),Cártel Independiente de La Laguna,,,,1,Alianza
Guerrero,Cártel de Sinaloa (Los Guzmán),La Barredora,,,,1,Alianza
Jalisco,Cártel de Sinaloa (Los Guzmán),Cártel Jalisco Nueva Generación,,,,1,Alianza
Quintana Roo,Cártel de Sinaloa (Los Guzmán),El 15,,,,1,Alianza
Sinaloa,Cártel de Sinaloa (Los Guzmán),Cártel Jalisco Nueva Generación,,,,2,Alianza
Sinaloa,Cártel de Sinaloa (Los Guzmán),Los Tamales,,,,1,Alianza
Sonora,Cártel de Sinaloa (Los Guzmán),Los Deltas (Los Guzmán),,,,1,Alianza
Sonora,Cártel de Sinaloa (Los Guzmán),Los Memos (Cártel de Sinaloa),,,,1,Alianza
Sonora,Cártel de Sinaloa (Los Guzmán),Los Pelones,,,,2,Alianza
Sonora,Cártel de Sinaloa (Los Guzmán),Mata Salas,,,,1,Alianza
Veracruz,Cártel de Sinaloa (Los Guzmán),Los Chivos,,,,1,Alianza
Yucatán,Cártel de Sinaloa (Los Guzmán),Banda del Chore,,,,1,Alianza
Baja California,Cártel de Sinaloa (Los Zambada),Los Arzate,,1,,,Alianza
Baja California Sur,Cártel de Sinaloa (Los Zambada),Los Aldos,,,,1,Alianza
Chihuahua,Cártel de Sinaloa (Los Zambada),Gente Nueva del Tigre,,,,1,Alianza
Chihuahua,Cártel de Sinaloa (Los Zambada),Los Cabrera,,,,4,Alianza
Coahuila,Cártel de Sinaloa (Los Zambada),Cártel del Noreste,,,,1,Alianza
Durango,Cártel de Sinaloa (Los Zambada),Los Cabrera,,,,1,Alianza
Guanajuato,Cártel de Sinaloa (Los Zambada),Cártel de Santa Rosa de Lima,,,,1,Alianza
Guerrero,Cártel de Sinaloa (Los Zambada),Cárteles Unidos,,,,1,Alianza
Guerrero,Cártel de Sinaloa (Los Zambada),Los Mazatlecos,,,,1,Alianza
Michoacán,Cártel de Sinaloa (Los Zambada),Cárteles Unidos,,,,1,Alianza
Nuevo León,Cártel de Sinaloa (Los Zambada),Cártel del Noreste,,,,1,Alianza
Querétaro,Cártel de Sinaloa (Los Zambada),Cártel de Santa Rosa de Lima,,,,1,Alianza
San Luis Potosí,Cártel de Sinaloa (Los Zambada),Cártel del Noreste,,,,1,Alianza
Sinaloa,Cártel de Sinaloa (Los Zambada),Los Cabrera,,,,5,Alianza
Sinaloa,Cártel de Sinaloa (Los Zambada),Los Demonios,,,,1,Alianza
Sinaloa,Cártel de Sinaloa (Los Zambada),Los Mazatlecos,,,,5,Alianza
Sonora,Cártel de Sinaloa (Los Zambada),Los Mazatlecos,,,,1,Alianza
Tamaulipas,Cártel de Sinaloa (Los Zambada),Cártel del Noreste,,,,1,Alianza
Michoacán,Cártel de Tepalcatepec,Cártel de la Virgen,,,3,,Alianza
Michoacán,Cártel de Tepalcatepec,Cártel de Los Reyes,,,,5,Alianza
Michoacán,Cártel de Tepalcatepec,Los Blancos de Troya,,,4,,Alianza
Baja California,Cártel de Tijuana Nueva Generación,Cártel Jalisco Nueva Generación,,1,,,Alianza
