Estados Unidos Mexicanos,44 445 136,,,
Seguro,,,15 720 848,35.4
Inseguro,,,28 550 808,64.2
,,,,
Aguascalientes,,,,
Aguascalientes,665 105,,,
Seguro,,,351 161,52.8
Inseguro,,,301 076,45.3
,,,,
Baja California,,,,
Mexicali,648 740,,,
Seguro,,,197 636,30.5
Inseguro,,,449 231,69.2
Tijuana,1 264 052,,,
Seguro,,,428 621,33.9
Inseguro,,,835 431,66.1
,,,,
Baja California Sur,,,,
La Paz,220 824,,,
Seguro,,,159 454,72.2
Inseguro,,,61 370,27.8
Los Cabos1,130 196,,,
Seguro,,,99 222,76.2
Inseguro,,,27 230,20.9
,,,,
Campeche,,,,
San Francisco de Campeche,193 746,,,
Seguro,,,63 804,32.9
Inseguro,,,127 917,66
Ciudad del Carmen,143 705,,,
Seguro,,,57 748,40.2
Inseguro,,,85 778,59.7
,,,,
Coahuila de Zaragoza,,,,
Saltillo,643 952,,,
Seguro,,,479 988,74.5
Inseguro,,,159 408,24.8
La Laguna2,852 646,,,
Seguro,,,448 240,52.6
Inseguro,,,404 406,47.4
Piedras Negras,122 069,,,
Seguro,,,93 295,76.4
Inseguro,,,28 774,23.6
,,,,
Colima,,,,
Colima,226 904,,,
Seguro,,,55 395,24.4
Inseguro,,,171 509,75.6
Manzanillo,107 842,,,
Seguro,,,34 954,32.4
Inseguro,,,72 345,67.1
,,,,
Chiapas,,,,
Tuxtla Gutiérrez,498 090,,,
Seguro,,,92 488,18.6
Inseguro,,,402 777,80.9
Tapachula,177 173,,,
Seguro,,,32 123,18.1
Inseguro,,,145 050,81.9
,,,,
Chihuahua,,,,
Chihuahua,692 512,,,
Seguro,,,283 513,40.9
Inseguro,,,407 581,58.9
Juárez,1 034 914,,,
Seguro,,,275 291,26.6
Inseguro,,,759 623,73.4
,,,,
Ciudad de México,,,,
Región Norte,,,,
Gustavo A. Madero,992 650,,,
Seguro,,,346 593,34.9
Inseguro,,,644 606,64.9
Iztacalco,336 053,,,
Seguro,,,101 332,30.2
Inseguro,,,234 721,69.8
Venustiano Carranza,352 001,,,
Seguro,,,200 139,56.9
Inseguro,,,149 957,42.6
Región Sur,,,,
Benito Juárez,369 350,,,
Seguro,,,297 584,80.6
Inseguro,,,71 766,19.4
Coyoacán,570 753,,,
Seguro,,,362 355,63.5
Inseguro,,,205 767,36.1
La Magdalena Contreras,187 187,,,
Seguro,,,81 754,43.7
Inseguro,,,105 433,56.3
Tlalpan,546 509,,,
Seguro,,,188 289,34.5
Inseguro,,,353 650,64.7
Región Oriente,,,,
Iztapalapa,1 446 415,,,
Seguro,,,346 505,24
Inseguro,,,1 099 910,76
Milpa Alta,87 781,,,
Seguro,,,27 293,31.1
Inseguro,,,60 488,68.9
Tláhuac,295 446,,,
Seguro,,,78 113,26.4
Inseguro,,,215 444,72.9
Xochimilco,343 539,,,
Seguro,,,77 635,22.6
Inseguro,,,264 681,77
Región Poniente,,,,
Álvaro Obregón,609 322,,,
Seguro,,,257 322,42.2
Inseguro,,,340 980,56
Azcapotzalco,371 940,,,
Seguro,,,164 595,44.3
Inseguro,,,201 189,54.1
Cuajimalpa de Morelos,152 192,,,
Seguro,,,117 152,77
Inseguro,,,33 925,22.3
Cuauhtémoc,468 734,,,
Seguro,,,163 631,34.9
Inseguro,,,301 951,64.4
Miguel Hidalgo,344 341,,,
Seguro,,,177 789,51.6
Inseguro,,,164 565,47.8
,,,,
Durango,,,,
Durango,431 918,,,
Seguro,,,243 740,56.4
Inseguro,,,188 178,43.6
La Laguna2,852 646,,,
Seguro,,,448 240,52.6
Inseguro,,,404 406,47.4
,,,,
Guanajuato,,,,
León de los Aldama,1 144 401,,,
Seguro,,,204 217,17.8
Inseguro,,,940 184,82.2
Irapuato,317 117,,,
Seguro,,,23 563,7.4
Inseguro,,,293 554,92.6
,,,,
Guerrero,,,,
Acapulco de Juárez,535 223,,,
Seguro,,,121 354,22.7
Inseguro,,,409 749,76.6
Chilpancingo de los Bravo,137 019,,,
Seguro,,,28 539,20.8
Inseguro,,,107 701,78.6
Ixtapa-Zihuatanejo,72 619,,,
Seguro,,,26 539,36.5
Inseguro,,,45 891,63.2
,,,,
Hidalgo,,,,
Pachuca de Soto,309 097,,,
Seguro,,,182 018,58.9
Inseguro,,,126 380,40.9
,,,,
Jalisco,,,,
Guadalajara,1 403 473,,,
Seguro,,,209 821,15
Inseguro,,,1 181 025,84.2
Tonalá,354 395,,,
Seguro,,,67 492,19
Inseguro,,,286 903,81
Tlajomulco de Zúñiga,63 636,,,
Seguro,,,21 316,33.5
Inseguro,,,42 320,66.5
San Pedro Tlaquepaque,504 715,,,
Seguro,,,177 484,35.2
Inseguro,,,326 395,64.7
Zapopan,970 268,,,
Seguro,,,340 338,35.1
Inseguro,,,607 953,62.7
Puerto Vallarta,174 579,,,
Seguro,,,113 911,65.2
Inseguro,,,60 351,34.6
,,,,
Estado de México,,,,
Toluca de Lerdo,990 052,,,
Seguro,,,160 010,16.2
Inseguro,,,830 042,83.8
Ecatepec de Morelos,1 439 928,,,
Seguro,,,150 312,10.4
Inseguro,,,1 289 616,89.6
Ciudad Nezahualcóyotl,1 007 127,,,
Seguro,,,271 858,27
Inseguro,,,730 479,72.5
Naucalpan de Juárez,726 586,,,
Seguro,,,74 624,10.3
Inseguro,,,651 962,89.7
Tlalnepantla de Baz,587 792,,,
Seguro,,,132 825,22.6
Inseguro,,,454 967,77.4
Atizapán de Zaragoza,422 208,,,
