Estados Unidos Mexicanos,36 173 328,,,
Seguro,,,9 051 202,25.0
Inseguro,,,27 079 556,74.9
,,,,
Aguascalientes,,,,
Aguascalientes, 567 550,,,
Seguro,,, 258 680,45.6
Inseguro,,, 308 870,54.4
,,,,
Baja California,,,,
Mexicali, 575 574,,,
Seguro,,, 96 306,16.7
Inseguro,,, 479 268,83.3
Tijuana,1 098 726,,,
Seguro,,, 291 076,26.5
Inseguro,,, 801 231,72.9
,,,,
Baja California Sur,,,,
La Paz, 198 260,,,
Seguro,,, 62 982,31.8
Inseguro,,, 135 278,68.2
Los Cabos, 120 564,,,
Seguro,,, 54 983,45.6
Inseguro,,, 65 379,54.2
,,,,
Campeche,,,,
San Francisco de Campeche, 175 721,,,
Seguro,,, 82 762,47.1
Inseguro,,, 92 275,52.5
Ciudad del Carmen, 136 288,,,
Seguro,,, 20 332,14.9
Inseguro,,, 115 956,85.1
,,,,
Coahuila de Zaragoza,,,,
Saltillo, 553 364,,,
Seguro,,, 351 687,63.6
Inseguro,,, 197 768,35.7
La Laguna1, 758 922,,,
Seguro,,, 323 966,42.7
Inseguro,,, 432 869,57.0
Piedras Negras, 117 431,,,
Seguro,,, 76 033,64.7
Inseguro,,, 41 398,35.3
,,,,
Colima,,,,
Colima, 207 661,,,
Seguro,,, 42 557,20.5
Inseguro,,, 165 104,79.5
Manzanillo, 106 417,,,
Seguro,,, 27 070,25.4
Inseguro,,, 79 347,74.6
,,,,
Chiapas,,,,
Tuxtla Gutiérrez, 457 334,,,
Seguro,,, 90 288,19.7
Inseguro,,, 367 046,80.3
Tapachula, 160 499,,,
Seguro,,, 21 966,13.7
Inseguro,,, 138 533,86.3
,,,,
Chihuahua,,,,
Chihuahua, 597 037,,,
Seguro,,, 136 772,22.9
Inseguro,,, 460 265,77.1
Juárez, 942 311,,,
Seguro,,, 279 255,29.6
Inseguro,,, 663 056,70.4
,,,,
Ciudad de México,,,,
Norte2,1 635 872,,,
Seguro,,, 197 176,12.1
Inseguro,,,1 438 696,87.9
Sur3,1 467 088,,,
Seguro,,, 211 012,14.4
Inseguro,,,1 256 076,85.6
Oriente4,1 962 797,,,
Seguro,,, 266 124,13.6
Inseguro,,,1 696 673,86.4
Poniente5,1 775 150,,,
Seguro,,, 240 275,13.5
Inseguro,,,1 534 875,86.5
,,,,
Durango,,,,
Durango, 351 219,,,
Seguro,,, 218 604,62.2
Inseguro,,, 132 615,37.8
La Laguna1, 758 922,,,
Seguro,,, 323 966,42.7
Inseguro,,, 432 869,57.0
,,,,
Guanajuato,,,,
León de los Aldama, 947 037,,,
Seguro,,, 205 130,21.7
Inseguro,,, 741 907,78.3
Guanajuato,87723,,,
Seguro,,, 33 025,37.6
Inseguro,,, 53 948,61.5
,,,,
Guerrero,,,,
Acapulco de Juárez, 494 009,,,
Seguro,,, 82 944,16.8
Inseguro,,, 411 065,83.2
Chilpancingo de los Bravo, 138 361,,,
Seguro,,, 7 270,5.3
Inseguro,,, 130 250,94.1
Ixtapa-Zihuatanejo,69023,,,
Seguro,,, 10 511,15.2
Inseguro,,, 58 512,84.8
,,,,
Hidalgo,,,,
Pachuca de Soto, 277 539,,,
Seguro,,, 100 572,36.2
Inseguro,,, 176 087,63.4
,,,,
Jalisco,,,,
Guadalajara,2 800 458,,,
Seguro,,, 908 110,32.4
Inseguro,,,1 892 348,67.6
Puerto Vallarta, 161 463,,,
Seguro,,, 113 901,70.5
Inseguro,,, 47 562,29.5
,,,,
Estado de México,,,,
Toluca de Lerdo, 895 325,,,
Seguro,,, 151 815,17.0
Inseguro,,, 743 510,83.0
Ecatepec de Morelos,1 413 813,,,
Seguro,,, 76 058,5.4
Inseguro,,,1 337 755,94.6
Ciudad Nezahualcóyotl, 960 404,,,
Seguro,,, 257 517,26.8
Inseguro,,, 702 887,73.2
