Estados Unidos Mexicanos,41 244 912,,,
Seguro,,,13 114 470,31.8
Inseguro,,,27 963 405,67.8
,,,,
Aguascalientes,,,,
Aguascalientes,612 362,,,
Seguro,,,297 751,48.6
Inseguro,,,314 611,51.4
,,,,
Baja California,,,,
Mexicali,581 208,,,
Seguro,,,234 235,40.3
Inseguro,,,346 973,59.7
Tijuana,1 170 218,,,
Seguro,,,308 505,26.4
Inseguro,,,861 713,73.6
,,,,
Baja California Sur,,,,
La Paz,218 875,,,
Seguro,,,171 249,78.2
Inseguro,,,47 626,21.8
Los Cabos1,138 418,,,
Seguro,,,96 919,70
Inseguro,,,37 222,26.9
,,,,
Campeche,,,,
San Francisco de Campeche,197 021,,,
Seguro,,,115 689,58.7
Inseguro,,,80 799,41
Ciudad del Carmen,144 686,,,
Seguro,,,44 501,30.8
Inseguro,,,99 813,69
,,,,
Coahuila de Zaragoza,,,,
Saltillo,628 036,,,
Seguro,,,438 982,69.9
Inseguro,,,189 054,30.1
La Laguna2,792 978,,,
Seguro,,,365 506,46.1
Inseguro,,,427 472,53.9
Piedras Negras,116 934,,,
Seguro,,,41 539,35.5
Inseguro,,,75 395,64.5
,,,,
Colima,,,,
Colima,217 470,,,
Seguro,,,99 422,45.7
Inseguro,,,118 048,54.3
Manzanillo,108 225,,,
Seguro,,,33 076,30.6
Inseguro,,,74 490,68.8
,,,,
Chiapas,,,,
Tuxtla Gutiérrez,491 355,,,
Seguro,,,125 537,25.5
Inseguro,,,362 598,73.8
Tapachula,174 162,,,
Seguro,,,27 986,16.1
Inseguro,,,146 176,83.9
,,,,
Chihuahua,,,,
Chihuahua,652 065,,,
Seguro,,,295 473,45.3
Inseguro,,,356 592,54.7
Juárez,1 025 079,,,
Seguro,,,287 435,28
Inseguro,,,737 644,72
,,,,
Ciudad de México,,,,
Región Norte,,,,
Gustavo A. Madero,943 942,,,
Seguro,,,140 096,14.8
Inseguro,,,796 977,84.4
Iztacalco,308 968,,,
Seguro,,,50 380,16.3
Inseguro,,,258 092,83.5
Venustiano Carranza,337 690,,,
Seguro,,,112 280,33.2
Inseguro,,,225 410,66.8
Región Sur,,,,
Benito Juárez,328 526,,,
Seguro,,,199 486,60.7
Inseguro,,,129 040,39.3
Coyoacán,500 369,,,
Seguro,,,165 468,33.1
Inseguro,,,334 901,66.9
La Magdalena Contreras,183 797,,,
Seguro,,,61 962,33.7
Inseguro,,,121 835,66.3
Tlalpan,480 146,,,
Seguro,,,129 169,26.9
Inseguro,,,343 709,71.6
Región Oriente,,,,
Iztapalapa,1 336 951,,,
Seguro,,,171 393,12.8
Inseguro,,,1 165 558,87.2
Milpa Alta,82 666,,,
Seguro,,,39 059,47.2
Inseguro,,,42 016,50.8
Tláhuac,270 745,,,
Seguro,,,92 761,34.3
Inseguro,,,174 823,64.6
Xochimilco,313 384,,,
Seguro,,,64 516,20.6
Inseguro,,,248 868,79.4
Región Poniente,,,,
Álvaro Obregón,597 841,,,
Seguro,,,107 699,18
Inseguro,,,485 697,81.2
Azcapotzalco,335 298,,,
Seguro,,,74 493,22.2
Inseguro,,,258 040,77
Cuajimalpa de Morelos,134 566,,,
Seguro,,,93 521,69.5
